"TIME","LATITUDE","LONGITUDE","SPEED(M/s)","ALT(M)","ACCURACY(M)","IS_OUTDOOR","X_POS","Y_POS","EVENT","EVENT_ID","TASK_TYPE","APP_DOWN(Mbps)","APP_UP(Mbps)","PING_DELAY(ms)","ISDATASLOT","NETWORK_TYPE","MCC","MNC","OPERATOR","NR5G TAC","NR5G NCI","NR5G gNodeB ID","NR5G Cell ID","NR5G CP Type","NR5G Duplex Mode","NR5G Numerology","NR5G Band","NR5G BandWidth DL","NR5G Bandwidth UL","NR5G SSB ARFCN DL","NR5G SSB ARFCN UL","NR5G PCI","NR5G Center ARFCN DL","NR5G Center ARFCN UL","NR5G SubCarrierSpacing","NR5G Absolute Frequency PointA","NR5G Init BWP Downlink Location Width","NR5G Init BWP Uplink Location Width","NR5G SSB Periodicity","NR5G RRC State","NR5G Connectivity Mode","NR5G Frequency Offset","NR5G Timing Offset","NR5G ServingCellIndex","NR5G Q_LEX_MIN","NR5G Pathloss DL","NR5G SS RSRP","NR5G SS RSRQ","NR5G SS SINR","NR5G SSB Beam Index","NR5G CellBarred","NR5G SubCarrierOffset","NR5G Serving GSCN","NR5G Carrier RSSI","NR5G Handover Target Arfcn","NR5G Handover Target PCI","NR5G SS RSRP Ant List","NR5G SS RSRQ Ant List","NR5G SS SINR Ant List","NR5G TRS SINR Ant List","NR5G SS RSSI Ant List","NR5G SSB Beam Index List","NR5G SSB Beam PCI List","NR5G SSB Beam RSRP List","NR5G SSB Beam RSRQ List","NR5G SSB Beam SINR List","NR5G ServingType List","NR5G Cells ARFCN List","NR5G Cells PCI List","NR5G Cells SSB Index List","NR5G Cells Band List","NR5G Cells BeamNum List","NR5G Cells RSRP List","NR5G Cells RSRQ List","NR5G Cells SINR List","NR5G MCS Avg DL","NR5G MCS Max DL","NR5G MCS Most DL","NR5G Modulation DL","NR5G Trans.Mode","NR5G DL QPSK Ratio(%)/s","NR5G DL 16QAM Ratio(%)/s","NR5G DL 64QAM Ratio(%)/s","NR5G DL 256QAM Ratio(%)/s","NR5G PDCP Tput DL(Mbps)","NR5G RLC Tput DL(Mbps)","NR5G MAC Tput Dl(Mbps)","NR5G PHY Tput DL(Mbps)","NR5G BLER DL","NR5G Layers Num DL","NR5G Rank DL","NR5G RB Num DL/slot","NR5G Pdsch Num RB/s","NR5G Grant Num DL/s","NR5G Pdsch TB Size/slot","NR5G TB0 Avg Size DL/s","NR5G TB1 Avg Size DL/s","NR5G CQI","NR5G MCS Avg UL","NR5G MCS Max UL","NR5G MCS Most UL","NR5G Modulation UL","NR5G Bler UL","NR5G Tx Mode UL","NR5G UL QPSK Ratio(%)/s","NR5G UL 16QAM Ratio(%)/s","NR5G UL 64QAM Ratio(%)/s","NR5G PDCP Tput UL(Mbps)","NR5G RLC Tput UL(Mbps)","NR5G MAC Tput UL(Mbps)","NR5G PHY Tput UL(Mbps)","NR5G Rank UL","NR5G RB Num UL/slot","NR5G Pusch Num RB/s","NR5G Grant Num UL/s","NR5G Pusch TB Size/s","NR5G MIMO","NR5G Rach Reason","NR5G C-RNTI","NR5G RACH Contention","NR5G PRACH Config","NR5G RACH Preamble Format","NR5G RACH LogicalRoot Index","NR5G RACH RA-RNTI","NR5G RACH Access Result","NR5G RACH T-RNTI","NR5G TA","NR5G Access Delay","NR5G PUSCH TxPower(dBm)","NR5G PUCCH TxPower(dBm)","NR5G PRACH TxPower(dBm)","NR5G DCI Format 0_0 Num/s","NR5G DCI Format 0_1 Num/s","NR5G DCI Format 0_2 Num/s","NR5G DCI Format 1_0 Num/s","NR5G DCI Format 1_1 Num/s","NR5G DCI Format 1_2 Num/s","NR5G DCI Format 2_0 Num/s","NR5G DCI Format 2_1 Num/s","NR5G DCI Format 2_2 Num/s","NR5G DCI Format 2_3 Num/s","NR5G DCI Format 0_0 AggLevel","NR5G DCI Format 0_1 AggLevel","NR5G DCI Format 1_0 AggLevel","NR5G DCI Format 1_1 AggLevel","NR5G DCI Format 2_0 AggLevel","NR5G DCI Format 2_1 AggLevel","NR5G DCI Format 2_2 AggLevel","NR5G DCI Format 2_3 AggLevel","NR5G MM State","NR5G MM Sub State","NR5G AMF Region ID","NR5G AMF SET ID","NR5G AMF Pointer","NR5G TMSI","NR5G Pusch Frame","NR5G Pusch Slot","NR5G Pusch SCS","NR5G Pusch TB Size/slot","NR5G Pusch TBIndex","NR5G Pusch Num RB/slot","NR5G Pusch BWP Id","NR5G Pusch TxPower","NR5G Pusch Actual TxPower","NR5G Pusch TxType","NR5G Pusch Carrier ID","NR5G Pusch HARQ ID","NR5G Pusch Modulation","NR5G Pusch Start RB","NR5G Pusch TPC","NR5G Pusch RNTI","NR5G Pdsch Frame","NR5G Pdsch Slot","NR5G Pdsch TB Index","NR5G Pdsch RNTI Type","NR5G Pdsch CRC Status","NR5G Pdsch NDI","NR5G Pdsch Modulation","NR5G Pdsch MCS","NR5G Pdsch Num RB/slot","NR5G Pdsch Num Layers","NR5G Pdsch Carrier ID","NR5G Pdsch HARQ ID","NR5G Pdsch SCS","NR5G Pdsch TxType","NR5G Pdsch BWP ID","NR5G Pdsch TB Size/s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA4919EA,EC624327,E97D2DB1,9581D094,84B5E45B,73EA1822,B7198906,421ADD10,63B29582,52E6A949,A6E20666,A64DBCCD,747E61BB,B9FEBE7C,6603415F,314EF0D7,96163A2D,F5A6C7A9,49A224C7,8013B21A,45945C1F,34C86FE6,9866E60A,CACA8AB5,854A4DF4,DB9676EE,4ED8C0A1,3E0CF468,70709913,5FA4ACDA,FEEB4C2B,EE1F7FF2,FB73865,BBBBDB47,DD5393B9,280A6C55,5A6E1100,E3B2283E,8FB6CB21,7EEAFEE8,B14E8393,F88BFD1F,264CB3B,F198FF01,813C654C,B3A009F7,A2D43DBE,88C3CD03,77F7E0CA,AA5B8575,A932D243,998FB93C,5F104341,4E447708,80A81BB3,6FDC2F7A,EA11974A,23FC83AD,1330B774,D945AB11,5B027A99,8D661F44,7C9A330B,289ED5EE,17D2E9B5,B7ADF29F,C879DED8,1C753BF6,1BE0D25D,6BCE46D2,3D788ACF,2CACBE96,D8B14178,C30BB7F8,FD2E2F60,9D6616DE,455CD119,3490E4E0,C7E5753F,5E7BF9A8,BF355A56,AE696E1D,41867377,C34322FE,6F47C5E1,D0959028,BFC9A3EF,52525FB0,9E31EB7D,AEFDD7B6,2F934D4,B14E624,A1AB6A8C,D40F0F37,CBBBD2E1,DFA1B9A,DC87BF1A,173E801C,4A368E60,396AA227,E56F4509,D4A378D0,7071D7C,F63B3142,A23FD425,9173E7EC,C3D78C97,B30BA05E,788C4A63,8958369C,2490ED46,4628A5B8,D001268F,7C05C972,6B39FD39,9D9D81E4,8CD1B5AB,1F5A516C,E8E6533,40F209DE,30263DA5,DC2AC087,5DE4A4A,F5127E10,277602BC,16AA3683,C2AED965,B1E2ED2C,E44691D7,D37AA59E,A54A5D28,947E70EF,C6E2159A,B6162961,621ACC44,514EE00B,954A458E,847E7955,B6E21E00,A61631C7,521AD4AA,414EE871,73B28D1C,62E6A0E3,EEB43C6,FE1F778C,30831C38,1FB72FFF,BAEFE6A8,ED538B53,A208491F,913C7CE6,7BCE5E6C,6B027233,8C9A2AA5,389ECD88,27D2E14F,5A3685FA,496AB9C1,F56F5CA3,E4A3706A,17071516,63B28DD,B23FCBBF,A173FF86,D3D78431,888C41FD,5628BD52,
20260725 15:15:48.556,24.826868,102.852026,15.44,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,100,100,504990,-,558,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,3,0,-58,106,-89.4,-16.2,1.9,1,Not Barred,6,6312,-44.4,504990,558,-80.2;-93.1;-91.7;-96.5,-,0.8;-4.3;-7.5;-10.9,21;18;17.8;16.2,-44.4;-44.5;-48.5;-49.4,1;2;0;7;7;0;7;2,558;558;558;558;722;560;496;497,-88.7;-91;-91.1;-90.4;-91.5;-86;-85.9;-85.4,-16.1;-17.3;-17.3;-16.5;-18.1;-13.2;-12.9;-12.3,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,558;560;497;496;722,1;0;2;7;7,-,4;1;1;1;1,-89.4;-85.4;-85.7;-85.8;-91.5,-16.2;-12.6;-12.6;-13.3;-18.1,1.9;255;255;255;255,0.5,1,1,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,3,Rank 3,16,64,4,92,-,92,9,16.1,18,17,64QAM,0,SMDL,0,0,100,0.00,0.00,0.00,0.00,Rank 2,4,68,17,-,4 x 4,HandOver,30883,Free,17,FORMAT_0,363,57,Success,30883,5,-,13,18,7,-,17,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,356,9,30kHz,688,-,4,1,-,-,New trans.,0,0,64QAM,59,1,30883,332,14,0,0,Pass,0,QPSK,1,16,3,0,15,30kHz,Re trans.,-,485,
20260725 15:15:49.571,24.826862,102.851984,15.66,1952,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,100,100,504990,-,722,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,0,1,-58,103,-83.2,-13.2,5.9,7,Not Barred,6,6312,-45.9,504990,722,-83.7;-95.4;0;0,-,3.1;3.9;-3.4;5.5,19.5;17.1;18.8;12.6,-50.5;-50.4;-47.3;-45.9,1;7;3;5;0;7;2;1,558;722;722;722;560;496;497;495,-86.7;-83.1;-91.6;-137.6;-83.8;-84.5;-85.3;-97.3,-14.6;-13.2;-14.7;-35.1;-12.4;-13.7;-11.8;-20.5,255;255;255;255;255;255;255;255,1;0;0;0;0;0,504990;504990;504990;504990;504990;504990,722;496;560;497;558;495,7;7;0;2;1;1,-,3;1;1;1;1;1,-83.2;-84.9;-85;-86.9;-88.4;-97.3,-13.2;-14.1;-13.1;-12.2;-15.8;-20.5,5.9;255;255;255;255;255,0.7,2,1,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 2,16,112,6,19,-,19,7,16.3,19,16,64QAM,0,SMDL,0,0,100,0.00,0.00,0.00,0.08,Rank 2,4,72,25,-,4 x 4,HandOver,41784,Free,17,FORMAT_0,226,57,Success,41784,7,-,24,20,3,-,25,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,472,8,30kHz,15,-,4,1,-,-,New trans.,0,0,QPSK,13,1,41784,472,0,0,8,Pass,0,QPSK,0,8,1,0,0,30kHz,Re trans.,-,616,
20260725 15:15:50.585,24.826853,102.851943,14.22,1952,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,100,100,504990,-,722,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,-2,1,-60,98,-76.4,-11.1,5,7,Not Barred,6,6312,-41.3,504990,722,-77.6;-82.2;-88.2;-92,-,4.9;3.4;-0.5;-2.8,1.7;-0.5;-3.6;-5.2,-41.3;-51.4;-49.9;-43.1,1;7;3;5;4;0;3;2;1,558;722;722;722;722;560;496;497;495,-88.4;-76.1;-85.9;-99.5;-111.7;-82.7;-83.9;-82.6;-83.6,-16.4;-11.1;-14.7;-18.5;-26.1;-11.6;-12.3;-12.5;-12.2,255;255;255;255;255;255;255;255;255,1;0;0;0;0;0,504990;504990;504990;504990;504990;504990,722;497;560;495;496;558,7;2;0;1;3;1,-,4;1;1;1;1;1,-76.4;-82.9;-83.1;-83.6;-84.4;-90,-11.1;-12.6;-12;-12.2;-13.1;-17.7,5;255;255;255;255;255,0.7,2,1,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 2,16,112,18,69,-,69,6,21.8,31,25,256QAM,0,SMDL,2.4,0,26.2,0.00,0.00,0.02,0.08,Rank 2,4,187,70,-,4 x 4,HandOver,41784,Free,17,FORMAT_0,226,57,Success,41784,7,-,4,21,3,-,70,-,3,15,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,573,19,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,203,1,41784,564,4,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,616,
20260725 15:15:51.598,24.826847,102.851906,13.39,1952,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,100,100,504990,-,722,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,-4,1,-60,96,-76,-11.1,9.7,7,Not Barred,6,6312,-35.1,504990,722,-70.8;-74.8;-86.2;-85.8,-,8.3;5.1;0.2;4.3,0.1;-9.3;-3.3;-6.5,-35.1;-46.5;-47;-38.8,7;7;3;6;0;0;2;1;6,558;722;722;722;560;496;497;495;720,-89.1;-76;-91;-105;-86.5;-87.5;-83.7;-86.5;-90.8,-21.2;-11.1;-15.5;-22.8;-14.3;-15.3;-11.5;-14.1;-15.5,255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,722;497;496;560;495;558;720,7;2;0;0;1;7;6,-,3;1;1;1;1;1;1,-76;-84.7;-86.5;-87.1;-87.4;-88;-91.2,-11.1;-12.1;-14.2;-14.2;-14.7;-17.1;-15,9.7;255;255;255;255;255;255,1.6,9,0,QPSK,-,100,0,0,0,0.00,0.00,0.01,0.01,0,1,Rank 2,20,364,4,14,-,14,7,25.4,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.02,0.30,Rank 2,4,216,46,-,4 x 4,HandOver,41784,Free,17,FORMAT_0,226,57,Success,41784,7,-,5,17,3,-,46,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,671,19,30kHz,896,-,4,1,-,-,New trans.,0,0,256QAM,203,1,41784,663,17,0,4,Pass,0,QPSK,0,20,1,0,0,30kHz,Re trans.,-,2310,
20260725 15:15:52.611,24.826840,102.851871,11.95,1952,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511819,1573123,11,Normal,-,1,41,100,100,504990,-,722,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,-1,1,-60,91,-70.5,-11.2,7.7,7,Not Barred,6,6312,-33.3,504990,722,-69.8;-71.4;-81.7;-82.8,-,7.7;6.4;4.8;5,-6.4;1.8;-10.3;-5.7,-33.3;-44.9;-43.4;-34.8,0;7;3;0;0;4;6,558;722;722;560;496;497;720,-88.8;-70.5;-93.8;-78.6;-77.8;-87.7;-88.5,-20.4;-11.2;-17.9;-14.6;-13.3;-14;-14.9,255;255;255;255;255;255;255,1;0;0;0;0;0,504990;504990;504990;504990;504990;504990,722;496;560;558;497;720,7;0;0;0;4;6,-,2;1;1;1;1;1,-70.5;-79.5;-79.6;-84.5;-85.8;-90.3,-11.2;-14.9;-14.1;-15.5;-14.5;-16.4,7.7;255;255;255;255;255,0.2,2,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 3,16,148,6,69,-,69,11,26.2,31,31,256QAM,0,SMDL,0,0,0,0.00,0.00,0.05,0.39,Rank 2,4,292,82,-,4 x 4,HandOver,41784,Free,17,FORMAT_0,226,57,Success,41784,7,-,5,8,3,-,82,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,773,18,30kHz,896,-,4,1,-,-,New trans.,0,0,256QAM,203,1,41784,755,14,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,620,
20260725 15:15:53.623,24.826829,102.851837,13.61,1952,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511819,1573123,11,Normal,-,1,41,100,100,504990,-,722,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,-1,1,-60,93,-73.8,-11.1,8.3,7,Not Barred,6,6312,-36.3,504990,722,-69.5;-70;-78.4;-82.5,-,5.6;7.1;6;6.8,-0.2;4.3;-3.5;-1.4,-36.8;-46.1;-44.5;-36.3,4;7;3;0;0;2;0,558;722;722;560;496;497;720,-85.8;-73.8;-89.8;-78.7;-85.9;-85.5;-91.2,-12.3;-11.1;-15.8;-12.2;-16.1;-13.6;-18.9,255;255;255;255;255;255;255,1;0;0;0;0;0,504990;504990;504990;504990;504990;504990,722;560;558;496;497;720,7;0;4;0;2;0,-,2;1;1;1;1;1,-73.8;-79.2;-82.8;-85;-86.2;-90.2,-11.1;-12.3;-14.3;-16.1;-14.2;-15.6,8.3;255;255;255;255;255,0.2,2,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 2,16,148,4,69,-,69,6,24.5,31,31,256QAM,0,SMDL,0,0,5.3,0.00,0.00,0.20,0.52,Rank 2,4,304,62,-,4 x 4,HandOver,41784,Free,17,FORMAT_0,226,57,Success,41784,7,-,10,9,3,-,62,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,875,9,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,203,1,41784,860,4,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,620,
20260725 15:15:54.630,24.826808,102.851809,14.04,1952,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511819,1573123,11,Normal,-,1,41,100,100,504990,-,722,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,-2,1,-60,90,-70.9,-11.5,9.8,7,Not Barred,6,6312,-29.4,504990,722,-68;-71.2;-86.3;-85,-,11.9;5.3;2.7;8.6,-0.1;-3.5;-7;-2.6,-29.4;-46.1;-47.9;-38,1;7;3;2;4;0;7;2;6;1;5,558;722;722;722;722;560;496;497;720;495;721,-87.3;-70.8;-84.7;-104.9;-92.3;-77.9;-81.9;-82.1;-101.4;-92.9;-129.6,-17.4;-11.4;-16.1;-24.6;-18.6;-11.6;-13.9;-12.7;-22.3;-20.5;-32.8,255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990,722;560;496;497;558;495;720;721,7;0;7;2;1;1;6;5,-,4;1;1;1;1;1;1;1,-70.9;-78.4;-82.7;-83.6;-87.2;-92.9;-93.4;-129.6,-11.5;-12.1;-14.4;-13.2;-15.6;-20.5;-19.6;-32.8,9.8;255;255;255;255;255;255;255,0,0,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 2,16,80,9,69,-,69,6,24.7,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.09,0.50,Rank 2,4,192,59,-,4 x 4,HandOver,41784,Free,17,FORMAT_0,226,57,Success,41784,7,-,6,4,3,-,59,-,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,979,9,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,203,0,41784,972,14,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,302,
20260725 15:15:55.638,24.826777,102.851793,14.11,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511819,1573123,11,Normal,-,1,41,100,100,504990,-,722,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,-4,1,-60,93,-68.4,-11.3,6.8,7,Not Barred,6,6312,-29.8,504990,722,-65.9;-76.7;-83.3;-82.7,-,8.7;2;-0.8;6.9,-7.6;-10.9;-7.9;-2.7,-29.8;-44.1;-41.5;-39,1;7;3;6;4;0;7;2;6;1,558;722;722;722;722;560;496;497;720;495,-83.2;-68.4;-90.1;-87.3;-90.4;-72.9;-78.6;-79.4;-85.9;-89.7,-16.3;-11.3;-19.9;-17.8;-19.4;-11.4;-15.8;-12.4;-17.3;-19.6,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,722;560;496;497;558;495;720,7;0;7;2;1;1;6,-,4;1;1;1;1;1;1,-68.4;-72.9;-79.5;-80.3;-84.8;-89.7;-92,-11.3;-11.4;-15.1;-12.7;-16.7;-19.6;-19,6.8;255;255;255;255;255;255,0.6,2,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 3,16,160,9,101,-,101,11,24.5,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.01,0.35,Rank 2,4,208,59,-,4 x 4,HandOver,41784,Free,17,FORMAT_0,226,57,Success,41784,7,-,5,6,3,-,59,-,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,37,19,30kHz,944,-,4,1,-,-,New trans.,0,0,256QAM,195,1,41784,12,15,0,0,Pass,1,QPSK,2,16,2,0,15,30kHz,Re trans.,-,780,
20260725 15:15:56.652,24.826716,102.851772,15.73,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511819,1573123,11,Normal,-,1,41,100,100,504990,-,560,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,3,2,-58,91,-70.7,-11,6.8,0,Not Barred,6,6312,-33,504990,560,-71.4;-74.4;-78.7;-84.8,-,8.3;11.8;6.7;-0.7,13;16;12.6;17,-33;-46;-43.6;-39.8,1;7;0;3;5;6;0;2;6;1,558;722;560;560;560;560;496;497;720;495,-83.7;-75.6;-70.7;-80.5;-89.2;-91.6;-88.6;-80.1;-96.3;-84.9,-15.7;-11.7;-11;-13.2;-16;-18.9;-21.6;-12.2;-20.9;-16,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,560;722;496;497;558;495;720,0;7;0;2;1;1;6,-,4;1;1;1;1;1;1,-70.7;-75.6;-79.6;-81.3;-85.7;-86.8;-96.3,-11;-11.7;-17.6;-13.2;-15.8;-17;-20.9,6.8;255;255;255;255;255;255,0.7,2,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 2,16,148,6,63,-,63,6,22.9,31,24,256QAM,0,SMDL,0,0,4.2,0.00,0.00,0.02,0.38,Rank 2,4,284,51,-,4 x 4,HandOver,29172,Free,17,FORMAT_0,390,57,Success,29172,5,-,6,-3,-11,-,51,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,89CE79EC,159,8,30kHz,944,-,4,1,-,-,New trans.,0,0,256QAM,195,0,29172,158,4,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,662,
