"TIME","LATITUDE","LONGITUDE","SPEED(M/s)","ALT(M)","ACCURACY(M)","IS_OUTDOOR","X_POS","Y_POS","EVENT","EVENT_ID","TASK_TYPE","APP_DOWN(Mbps)","APP_UP(Mbps)","PING_DELAY(ms)","ISDATASLOT","NETWORK_TYPE","MCC","MNC","OPERATOR","NR5G TAC","NR5G NCI","NR5G gNodeB ID","NR5G Cell ID","NR5G CP Type","NR5G Duplex Mode","NR5G Numerology","NR5G Band","NR5G BandWidth DL","NR5G Bandwidth UL","NR5G SSB ARFCN DL","NR5G SSB ARFCN UL","NR5G PCI","NR5G Center ARFCN DL","NR5G Center ARFCN UL","NR5G SubCarrierSpacing","NR5G Absolute Frequency PointA","NR5G Init BWP Downlink Location Width","NR5G Init BWP Uplink Location Width","NR5G SSB Periodicity","NR5G RRC State","NR5G Connectivity Mode","NR5G Frequency Offset","NR5G Timing Offset","NR5G ServingCellIndex","NR5G Q_LEX_MIN","NR5G Pathloss DL","NR5G SS RSRP","NR5G SS RSRQ","NR5G SS SINR","NR5G SSB Beam Index","NR5G CellBarred","NR5G SubCarrierOffset","NR5G Serving GSCN","NR5G Carrier RSSI","NR5G Handover Target Arfcn","NR5G Handover Target PCI","NR5G SS RSRP Ant List","NR5G SS RSRQ Ant List","NR5G SS SINR Ant List","NR5G TRS SINR Ant List","NR5G SS RSSI Ant List","NR5G SSB Beam Index List","NR5G SSB Beam PCI List","NR5G SSB Beam RSRP List","NR5G SSB Beam RSRQ List","NR5G SSB Beam SINR List","NR5G ServingType List","NR5G Cells ARFCN List","NR5G Cells PCI List","NR5G Cells SSB Index List","NR5G Cells Band List","NR5G Cells BeamNum List","NR5G Cells RSRP List","NR5G Cells RSRQ List","NR5G Cells SINR List","NR5G MCS Avg DL","NR5G MCS Max DL","NR5G MCS Most DL","NR5G Modulation DL","NR5G Trans.Mode","NR5G DL QPSK Ratio(%)/s","NR5G DL 16QAM Ratio(%)/s","NR5G DL 64QAM Ratio(%)/s","NR5G DL 256QAM Ratio(%)/s","NR5G PDCP Tput DL(Mbps)","NR5G RLC Tput DL(Mbps)","NR5G MAC Tput Dl(Mbps)","NR5G PHY Tput DL(Mbps)","NR5G BLER DL","NR5G Layers Num DL","NR5G Rank DL","NR5G RB Num DL/slot","NR5G Pdsch Num RB/s","NR5G Grant Num DL/s","NR5G Pdsch TB Size/slot","NR5G TB0 Avg Size DL/s","NR5G TB1 Avg Size DL/s","NR5G CQI","NR5G MCS Avg UL","NR5G MCS Max UL","NR5G MCS Most UL","NR5G Modulation UL","NR5G Bler UL","NR5G Tx Mode UL","NR5G UL QPSK Ratio(%)/s","NR5G UL 16QAM Ratio(%)/s","NR5G UL 64QAM Ratio(%)/s","NR5G PDCP Tput UL(Mbps)","NR5G RLC Tput UL(Mbps)","NR5G MAC Tput UL(Mbps)","NR5G PHY Tput UL(Mbps)","NR5G Rank UL","NR5G RB Num UL/slot","NR5G Pusch Num RB/s","NR5G Grant Num UL/s","NR5G Pusch TB Size/s","NR5G MIMO","NR5G Rach Reason","NR5G C-RNTI","NR5G RACH Contention","NR5G PRACH Config","NR5G RACH Preamble Format","NR5G RACH LogicalRoot Index","NR5G RACH RA-RNTI","NR5G RACH Access Result","NR5G RACH T-RNTI","NR5G TA","NR5G Access Delay","NR5G PUSCH TxPower(dBm)","NR5G PUCCH TxPower(dBm)","NR5G PRACH TxPower(dBm)","NR5G DCI Format 0_0 Num/s","NR5G DCI Format 0_1 Num/s","NR5G DCI Format 0_2 Num/s","NR5G DCI Format 1_0 Num/s","NR5G DCI Format 1_1 Num/s","NR5G DCI Format 1_2 Num/s","NR5G DCI Format 2_0 Num/s","NR5G DCI Format 2_1 Num/s","NR5G DCI Format 2_2 Num/s","NR5G DCI Format 2_3 Num/s","NR5G DCI Format 0_0 AggLevel","NR5G DCI Format 0_1 AggLevel","NR5G DCI Format 1_0 AggLevel","NR5G DCI Format 1_1 AggLevel","NR5G DCI Format 2_0 AggLevel","NR5G DCI Format 2_1 AggLevel","NR5G DCI Format 2_2 AggLevel","NR5G DCI Format 2_3 AggLevel","NR5G MM State","NR5G MM Sub State","NR5G AMF Region ID","NR5G AMF SET ID","NR5G AMF Pointer","NR5G TMSI","NR5G Pusch Frame","NR5G Pusch Slot","NR5G Pusch SCS","NR5G Pusch TB Size/slot","NR5G Pusch TBIndex","NR5G Pusch Num RB/slot","NR5G Pusch BWP Id","NR5G Pusch TxPower","NR5G Pusch Actual TxPower","NR5G Pusch TxType","NR5G Pusch Carrier ID","NR5G Pusch HARQ ID","NR5G Pusch Modulation","NR5G Pusch Start RB","NR5G Pusch TPC","NR5G Pusch RNTI","NR5G Pdsch Frame","NR5G Pdsch Slot","NR5G Pdsch TB Index","NR5G Pdsch RNTI Type","NR5G Pdsch CRC Status","NR5G Pdsch NDI","NR5G Pdsch Modulation","NR5G Pdsch MCS","NR5G Pdsch Num RB/slot","NR5G Pdsch Num Layers","NR5G Pdsch Carrier ID","NR5G Pdsch HARQ ID","NR5G Pdsch SCS","NR5G Pdsch TxType","NR5G Pdsch BWP ID","NR5G Pdsch TB Size/s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA4919EA,EC624327,E97D2DB1,9581D094,84B5E45B,73EA1822,B7198906,421ADD10,63B29582,52E6A949,A6E20666,A64DBCCD,747E61BB,B9FEBE7C,6603415F,314EF0D7,96163A2D,F5A6C7A9,49A224C7,8013B21A,45945C1F,34C86FE6,9866E60A,CACA8AB5,854A4DF4,DB9676EE,4ED8C0A1,3E0CF468,70709913,5FA4ACDA,FEEB4C2B,EE1F7FF2,FB73865,BBBBDB47,DD5393B9,280A6C55,5A6E1100,E3B2283E,8FB6CB21,7EEAFEE8,B14E8393,F88BFD1F,264CB3B,F198FF01,813C654C,B3A009F7,A2D43DBE,88C3CD03,77F7E0CA,AA5B8575,A932D243,998FB93C,5F104341,4E447708,80A81BB3,6FDC2F7A,EA11974A,23FC83AD,1330B774,D945AB11,5B027A99,8D661F44,7C9A330B,289ED5EE,17D2E9B5,B7ADF29F,C879DED8,1C753BF6,1BE0D25D,6BCE46D2,3D788ACF,2CACBE96,D8B14178,C30BB7F8,FD2E2F60,9D6616DE,455CD119,3490E4E0,C7E5753F,5E7BF9A8,BF355A56,AE696E1D,41867377,C34322FE,6F47C5E1,D0959028,BFC9A3EF,52525FB0,9E31EB7D,AEFDD7B6,2F934D4,B14E624,A1AB6A8C,D40F0F37,CBBBD2E1,DFA1B9A,DC87BF1A,173E801C,4A368E60,396AA227,E56F4509,D4A378D0,7071D7C,F63B3142,A23FD425,9173E7EC,C3D78C97,B30BA05E,788C4A63,8958369C,2490ED46,4628A5B8,D001268F,7C05C972,6B39FD39,9D9D81E4,8CD1B5AB,1F5A516C,E8E6533,40F209DE,30263DA5,DC2AC087,5DE4A4A,F5127E10,277602BC,16AA3683,C2AED965,B1E2ED2C,E44691D7,D37AA59E,A54A5D28,947E70EF,C6E2159A,B6162961,621ACC44,514EE00B,954A458E,847E7955,B6E21E00,A61631C7,521AD4AA,414EE871,73B28D1C,62E6A0E3,EEB43C6,FE1F778C,30831C38,1FB72FFF,BAEFE6A8,ED538B53,A208491F,913C7CE6,7BCE5E6C,6B027233,8C9A2AA5,389ECD88,27D2E14F,5A3685FA,496AB9C1,F56F5CA3,E4A3706A,17071516,63B28DD,B23FCBBF,A173FF86,D3D78431,888C41FD,5628BD52,
20260725 14:09:32.723,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,0,0,-,103,-87.1,-11.3,10.2,5,-,-,6612,-53.3,-,-,-85.1;-87.2;-96.1;-83.7,-,10.2;4.1;255;255,21.7;24.4;255;255,-53.6;-53.3,5;6;4;2;2;3;3,209;209;209;209;207;208;499,-85.4;-86.8;-90.2;-90.5;-96.3;-92.9;-101.2,-10.5;-11.2;-12.4;-11.5;-16.8;-14.3;-17.9,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;207;499,5;3;2;3,-,4;1;1;1,-87.1;-93;-96.3;-101.2,-11.3;-13.9;-16.8;-17.9,10.2;255;255;255,4.5,21,2,QPSK,-,84.6,3.8,0,11.5,0.00,0.20,0.27,0.28,0,2,Rank 1,18,468,13,357,-,357,11,24.7,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.03,0.61,Rank 2,4,12,73,-,2 x 2,-,21175,-,-,-,-,-,-,-,-,-,12,0,-,-,73,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,996,18,30kHz,1089,-,4,1,-,-,New trans.,0,0,256QAM,143,1,21175,843,14,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,32334,
20260725 14:09:33.735,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,-1,0,-,103,-86.4,-11.2,11.2,5,-,-,6612,-52.9,-,-,-84.3;-86.8;-97.8;-82.8,-,11;4.2;255;255,20.7;23.9;255;255,-52.9;-53.1,5;6;4;2;2;6;3,209;209;209;209;207;208;499,-84.4;-86.7;-89.5;-90.4;-96.8;-92.4;-99,-10.4;-11.2;-12;-11.5;-18;-15.5;-17.9,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;207;499,5;6;2;3,-,4;1;1;1,-86.4;-92.8;-96.8;-99,-11.2;-13.6;-18;-17.9,11.2;255;255;255,4.5,21,2,QPSK,-,84.6,3.8,0,11.5,0.00,0.00,0.00,0.00,0,2,Rank 1,18,468,0,357,-,357,10,24.7,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.03,0.02,Rank 2,4,12,5,-,2 x 2,-,21175,-,-,-,-,-,-,-,-,-,12,0,-,-,5,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,18,30kHz,1089,-,4,1,-,-,New trans.,0,0,256QAM,111,1,21175,843,14,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,32334,
20260725 14:09:34.742,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,-1,0,-,103,-84.5,-11,10.9,5,-,-,6612,-49.6,-,-,-83.6;-93.2;-99.6;-86.3,-,5.7;10.6;-5.9;3.9,24.9;17.5;255;255,-49.6;-61.5,5;6;0;4;2;6;3,209;209;209;209;207;208;499,-83.5;-90.1;-93.8;-93;-101.3;-89.1;-106.5,-10.5;-12.7;-12.4;-15.5;-16.6;-13.4;-16,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;207;499,5;6;2;3,-,4;1;1;1,-84.5;-90;-101.3;-106.5,-11;-13.3;-16.6;-16,10.9;255;255;255,5.8,25,2,QPSK,-,76.9,0,15.4,7.7,0.00,0.00,0.00,0.00,0,1,Rank 1,22,290,0,26,-,26,11,24.7,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.03,0.02,Rank 2,4,56,5,-,2 x 2,-,21175,-,-,-,-,-,-,-,-,-,12,0,-,-,5,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,187,18,30kHz,1089,-,4,1,-,-,New trans.,0,0,256QAM,111,1,21175,257,15,0,4,Pass,0,QPSK,0,8,1,0,0,30kHz,Re trans.,-,30534,
20260725 14:09:35.752,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,-2,0,-,103,-85.3,-11,10.3,5,-,-,6612,-50.6,-,-,-83.5;-92.3;-102;-85.4,-,5.4;10.6;255;255,24.1;19.5;255;255,-50.6;-60.1,5;6;0;7;2;6;3,209;209;209;209;207;208;499,-83.8;-87.5;-91.4;-92.4;-104;-88.7;-101.8,-10.6;-11.4;-12.8;-11.8;-17.5;-14.2;-16.6,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;499;207,5;6;3;2,-,4;1;1;1,-85.3;-90.5;-101.8;-104,-11;-14.2;-16.6;-17.5,10.3;255;255;255,5.8,25,2,QPSK,-,76.9,0,15.4,7.7,0.00,0.00,0.00,0.00,0,1,Rank 1,22,290,0,26,-,26,11,24.7,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.11,Rank 2,4,0,5,-,2 x 2,-,21175,-,-,-,-,-,-,-,-,-,12,0,-,-,5,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,187,18,30kHz,1089,-,4,1,-,-,New trans.,0,0,256QAM,111,1,21175,257,15,0,4,Pass,0,QPSK,0,8,1,0,0,30kHz,Re trans.,-,30534,
20260725 14:09:36.763,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,-3,0,-,100,-82.7,-11.2,3.7,5,-,-,6612,-50.8,-,-,-87.9;-91.3;-120.2;-83.3,-,4.9;0.7;255;255,24;18.7;255;255,-50.8;-54.3,5;6;3;4;2;4;3,209;209;209;209;207;208;499,-82.4;-85.7;-88.4;-89;-97.6;-89.7;-98.8,-11.5;-11.4;-12.3;-13.3;-14.7;-13.9;-20,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;207;499,5;4;2;3,-,4;1;1;1,-82.7;-91.6;-97.6;-98.8,-11.2;-14.6;-14.7;-20,3.7;255;255;255,0,0,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,10,32,4,26,-,26,12,24.7,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.00,Rank 2,4,0,14,-,2 x 2,-,21175,-,-,-,-,-,-,-,-,-,11,0,-,-,14,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,424,18,30kHz,912,-,4,1,-,-,New trans.,0,0,256QAM,111,2,21175,385,15,0,4,Pass,0,QPSK,0,8,1,0,0,30kHz,Re trans.,-,112,
20260725 14:09:37.774,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,-3,0,-,100,-84.5,-11.4,8.9,5,-,-,6612,-49.6,-,-,-85.7;-90.6;-126.8;-82,-,4.8;-2.7;-7.2;8.4,23.4;18.7;-0;21.2,-50.4;-49.6;-68.9;-53.8,5;6;3;2;2;5;3,209;209;209;209;207;208;499,-84.3;-84.4;-85;-87.3;-92.8;-88.2;-98.2,-11.9;-11;-11.4;-11.1;-13.5;-13.3;-17.9,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;207;499,5;5;2;3,-,4;1;1;1,-84.5;-89.3;-92.8;-98.2,-11.4;-14;-13.5;-17.9,8.9;255;255;255,0,0,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 2,10,32,4,26,-,26,12,22,22,22,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.00,Rank 2,4,8,14,-,2 x 2,-,21175,-,-,-,-,-,-,-,-,-,11,0,-,-,14,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,424,18,30kHz,912,-,4,1,-,-,New trans.,0,0,256QAM,111,2,21175,385,15,0,4,Pass,0,QPSK,0,8,1,0,0,30kHz,Re trans.,-,112,
20260725 14:09:38.787,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,0,0,-,100,-84.9,-11.5,7.7,5,-,-,6612,-50.5,-,-,-85.4;-83.9;-84.6;-89.4,-,5.1;9.1;4.9;0.2,24.1;23.3;16.3;19.5,-50.9;-50.5;-53.4;-53.5,5;6;3;4;2;5;3,209;209;209;209;207;208;499,-85.1;-83.6;-86.3;-89.6;-93;-88.9;-123.2,-11.9;-11;-11.7;-13.6;-14.9;-14.5;-28.7,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;207;499,5;5;2;3,-,4;1;1;1,-84.9;-89.8;-93.9;-123.2,-11.5;-14.8;-15.1;-28.7,7.7;255;255;255,0,0,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 2,10,32,1,26,-,26,12,22,22,22,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.01,Rank 2,4,0,2,-,4 x 4,-,21175,-,-,-,-,-,-,-,-,-,11,0,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,424,18,30kHz,912,-,4,1,-,-,New trans.,0,0,256QAM,111,2,21175,641,15,0,4,Pass,0,QPSK,0,8,1,0,0,30kHz,Re trans.,-,112,
20260725 14:09:39.799,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,-2,0,-,101,-84.6,-10.9,7.5,5,-,-,6612,-50.8,-,-,-85.8;-85.5;-89.7;-94.5,-,5.8;8.1;0.2;-2.2,23.6;22.5;22.7;20.4,-50.8;-51.6;-55.1;-53.9,5;6;3;4;2;4;3,209;209;209;209;207;208;499,-84;-83.4;-87;-88.8;-95.4;-88.6;-99.2,-11;-10.8;-11;-12.9;-18.1;-13.6;-21.9,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;207;499,5;4;2;3,-,4;1;1;1,-84.6;-89.6;-96.7;-99.2,-10.9;-15;-19.2;-21.9,7.5;255;255;255,1,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,4,Rank 1,12,24,1,672,-,672,12,22,22,22,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.00,Rank 2,4,0,2,-,4 x 4,-,21175,-,-,-,-,-,-,-,-,-,11,1,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,759,18,30kHz,1089,-,4,1,-,-,New trans.,0,0,256QAM,115,1,21175,754,12,0,0,Pass,1,QPSK,2,16,4,0,15,30kHz,Re trans.,-,698,
20260725 14:09:40.806,24.824634,102.849283,0.00,1951,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511841,1573123,33,Normal,-,1,41,-,-,528990,-,209,-,-,30kHz,-,-,-,ms20,-,SA,-0.3,-2,0,-,101,-84.3,-10.9,10,5,-,-,6612,-49.5,-,-,-85.4;-82;-88.4;-88.5,-,6;9.5;4.8;-1.4,24.5;23.6;23.7;21.1,-51.1;-49.5;-56;-53.1,5;6;3;2;2;4;3,209;209;209;209;207;208;499,-83;-84.7;-86;-88.7;-94.5;-88.4;-98.2,-10.9;-11.1;-10.8;-11.6;-17.4;-13.5;-21.9,255;255;255;255;255;255;255,1;0;0;0,528990;528990;528990;528990,209;208;207;499,5;4;2;3,-,4;1;1;1,-84.3;-89.6;-96.2;-98.2,-10.9;-15.1;-18.7;-21.9,10;255;255;255,1,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,4,Rank 1,12,24,1,261,-,261,12,24.8,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.00,Rank 2,4,136,2,-,4 x 4,-,21175,-,-,-,-,-,-,-,-,-,11,0,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,842,9,30kHz,1089,-,4,1,-,-,New trans.,0,0,256QAM,111,1,21175,837,4,0,0,Pass,1,QPSK,0,16,4,0,15,30kHz,Re trans.,-,698,
