"TIME","LATITUDE","LONGITUDE","SPEED(M/s)","ALT(M)","ACCURACY(M)","IS_OUTDOOR","X_POS","Y_POS","EVENT","EVENT_ID","TASK_TYPE","APP_DOWN(Mbps)","APP_UP(Mbps)","PING_DELAY(ms)","ISDATASLOT","NETWORK_TYPE","MCC","MNC","OPERATOR","NR5G TAC","NR5G NCI","NR5G gNodeB ID","NR5G Cell ID","NR5G CP Type","NR5G Duplex Mode","NR5G Numerology","NR5G Band","NR5G BandWidth DL","NR5G Bandwidth UL","NR5G SSB ARFCN DL","NR5G SSB ARFCN UL","NR5G PCI","NR5G Center ARFCN DL","NR5G Center ARFCN UL","NR5G SubCarrierSpacing","NR5G Absolute Frequency PointA","NR5G Init BWP Downlink Location Width","NR5G Init BWP Uplink Location Width","NR5G SSB Periodicity","NR5G RRC State","NR5G Connectivity Mode","NR5G Frequency Offset","NR5G Timing Offset","NR5G ServingCellIndex","NR5G Q_LEX_MIN","NR5G Pathloss DL","NR5G SS RSRP","NR5G SS RSRQ","NR5G SS SINR","NR5G SSB Beam Index","NR5G CellBarred","NR5G SubCarrierOffset","NR5G Serving GSCN","NR5G Carrier RSSI","NR5G Handover Target Arfcn","NR5G Handover Target PCI","NR5G SS RSRP Ant List","NR5G SS RSRQ Ant List","NR5G SS SINR Ant List","NR5G TRS SINR Ant List","NR5G SS RSSI Ant List","NR5G SSB Beam Index List","NR5G SSB Beam PCI List","NR5G SSB Beam RSRP List","NR5G SSB Beam RSRQ List","NR5G SSB Beam SINR List","NR5G ServingType List","NR5G Cells ARFCN List","NR5G Cells PCI List","NR5G Cells SSB Index List","NR5G Cells Band List","NR5G Cells BeamNum List","NR5G Cells RSRP List","NR5G Cells RSRQ List","NR5G Cells SINR List","NR5G MCS Avg DL","NR5G MCS Max DL","NR5G MCS Most DL","NR5G Modulation DL","NR5G Trans.Mode","NR5G DL QPSK Ratio(%)/s","NR5G DL 16QAM Ratio(%)/s","NR5G DL 64QAM Ratio(%)/s","NR5G DL 256QAM Ratio(%)/s","NR5G PDCP Tput DL(Mbps)","NR5G RLC Tput DL(Mbps)","NR5G MAC Tput Dl(Mbps)","NR5G PHY Tput DL(Mbps)","NR5G BLER DL","NR5G Layers Num DL","NR5G Rank DL","NR5G RB Num DL/slot","NR5G Pdsch Num RB/s","NR5G Grant Num DL/s","NR5G Pdsch TB Size/slot","NR5G TB0 Avg Size DL/s","NR5G TB1 Avg Size DL/s","NR5G CQI","NR5G MCS Avg UL","NR5G MCS Max UL","NR5G MCS Most UL","NR5G Modulation UL","NR5G Bler UL","NR5G Tx Mode UL","NR5G UL QPSK Ratio(%)/s","NR5G UL 16QAM Ratio(%)/s","NR5G UL 64QAM Ratio(%)/s","NR5G PDCP Tput UL(Mbps)","NR5G RLC Tput UL(Mbps)","NR5G MAC Tput UL(Mbps)","NR5G PHY Tput UL(Mbps)","NR5G Rank UL","NR5G RB Num UL/slot","NR5G Pusch Num RB/s","NR5G Grant Num UL/s","NR5G Pusch TB Size/s","NR5G MIMO","NR5G Rach Reason","NR5G C-RNTI","NR5G RACH Contention","NR5G PRACH Config","NR5G RACH Preamble Format","NR5G RACH LogicalRoot Index","NR5G RACH RA-RNTI","NR5G RACH Access Result","NR5G RACH T-RNTI","NR5G TA","NR5G Access Delay","NR5G PUSCH TxPower(dBm)","NR5G PUCCH TxPower(dBm)","NR5G PRACH TxPower(dBm)","NR5G DCI Format 0_0 Num/s","NR5G DCI Format 0_1 Num/s","NR5G DCI Format 0_2 Num/s","NR5G DCI Format 1_0 Num/s","NR5G DCI Format 1_1 Num/s","NR5G DCI Format 1_2 Num/s","NR5G DCI Format 2_0 Num/s","NR5G DCI Format 2_1 Num/s","NR5G DCI Format 2_2 Num/s","NR5G DCI Format 2_3 Num/s","NR5G DCI Format 0_0 AggLevel","NR5G DCI Format 0_1 AggLevel","NR5G DCI Format 1_0 AggLevel","NR5G DCI Format 1_1 AggLevel","NR5G DCI Format 2_0 AggLevel","NR5G DCI Format 2_1 AggLevel","NR5G DCI Format 2_2 AggLevel","NR5G DCI Format 2_3 AggLevel","NR5G MM State","NR5G MM Sub State","NR5G AMF Region ID","NR5G AMF SET ID","NR5G AMF Pointer","NR5G TMSI","NR5G Pusch Frame","NR5G Pusch Slot","NR5G Pusch SCS","NR5G Pusch TB Size/slot","NR5G Pusch TBIndex","NR5G Pusch Num RB/slot","NR5G Pusch BWP Id","NR5G Pusch TxPower","NR5G Pusch Actual TxPower","NR5G Pusch TxType","NR5G Pusch Carrier ID","NR5G Pusch HARQ ID","NR5G Pusch Modulation","NR5G Pusch Start RB","NR5G Pusch TPC","NR5G Pusch RNTI","NR5G Pdsch Frame","NR5G Pdsch Slot","NR5G Pdsch TB Index","NR5G Pdsch RNTI Type","NR5G Pdsch CRC Status","NR5G Pdsch NDI","NR5G Pdsch Modulation","NR5G Pdsch MCS","NR5G Pdsch Num RB/slot","NR5G Pdsch Num Layers","NR5G Pdsch Carrier ID","NR5G Pdsch HARQ ID","NR5G Pdsch SCS","NR5G Pdsch TxType","NR5G Pdsch BWP ID","NR5G Pdsch TB Size/s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA4919EA,EC624327,E97D2DB1,9581D094,84B5E45B,73EA1822,B7198906,421ADD10,63B29582,52E6A949,A6E20666,A64DBCCD,747E61BB,B9FEBE7C,6603415F,314EF0D7,96163A2D,F5A6C7A9,49A224C7,8013B21A,45945C1F,34C86FE6,9866E60A,CACA8AB5,854A4DF4,DB9676EE,4ED8C0A1,3E0CF468,70709913,5FA4ACDA,FEEB4C2B,EE1F7FF2,FB73865,BBBBDB47,DD5393B9,280A6C55,5A6E1100,E3B2283E,8FB6CB21,7EEAFEE8,B14E8393,F88BFD1F,264CB3B,F198FF01,813C654C,B3A009F7,A2D43DBE,88C3CD03,77F7E0CA,AA5B8575,A932D243,998FB93C,5F104341,4E447708,80A81BB3,6FDC2F7A,EA11974A,23FC83AD,1330B774,D945AB11,5B027A99,8D661F44,7C9A330B,289ED5EE,17D2E9B5,B7ADF29F,C879DED8,1C753BF6,1BE0D25D,6BCE46D2,3D788ACF,2CACBE96,D8B14178,C30BB7F8,FD2E2F60,9D6616DE,455CD119,3490E4E0,C7E5753F,5E7BF9A8,BF355A56,AE696E1D,41867377,C34322FE,6F47C5E1,D0959028,BFC9A3EF,52525FB0,9E31EB7D,AEFDD7B6,2F934D4,B14E624,A1AB6A8C,D40F0F37,CBBBD2E1,DFA1B9A,DC87BF1A,173E801C,4A368E60,396AA227,E56F4509,D4A378D0,7071D7C,F63B3142,A23FD425,9173E7EC,C3D78C97,B30BA05E,788C4A63,8958369C,2490ED46,4628A5B8,D001268F,7C05C972,6B39FD39,9D9D81E4,8CD1B5AB,1F5A516C,E8E6533,40F209DE,30263DA5,DC2AC087,5DE4A4A,F5127E10,277602BC,16AA3683,C2AED965,B1E2ED2C,E44691D7,D37AA59E,A54A5D28,947E70EF,C6E2159A,B6162961,621ACC44,514EE00B,954A458E,847E7955,B6E21E00,A61631C7,521AD4AA,414EE871,73B28D1C,62E6A0E3,EEB43C6,FE1F778C,30831C38,1FB72FFF,BAEFE6A8,ED538B53,A208491F,913C7CE6,7BCE5E6C,6B027233,8C9A2AA5,389ECD88,27D2E14F,5A3685FA,496AB9C1,F56F5CA3,E4A3706A,17071516,63B28DD,B23FCBBF,A173FF86,D3D78431,888C41FD,5628BD52,
20260725 15:37:15.853,24.830778,102.844256,23.54,1936,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456485,6453981196,1575679,12,Normal,-,1,41,100,100,504990,-,872,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,4,6,-60,103,-80.7,-12.1,0.1,1,Not Barred,6,6312,-40.1,504990,872,-83.7;-89.2;-98.5;-87.2,-,1.4;1.3;255;255,4.8;0.6;255;255,-40.1;-51.5,1;6;7;2;6;0;1;0;3,475;476;8;742;664;944;872;872;665,-88.6;-105.5;-97.9;-119.4;-97.9;-90;-80.6;-92.3;-107.9,-18.5;-17.5;-13.2;-28.6;-11.7;-12.9;-12.1;-15.2;-18.7,255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990,872;475;944;8;664;476;742;665,1;1;0;7;6;6;2;3,-,2;1;1;1;1;1;1;1,-80.7;-89.1;-89.8;-97.9;-100;-105.4;-107;-107.9,-12.1;-13.9;-13.8;-13.6;-12.4;-17.8;-20.6;-18.7,0.1;255;255;255;255;255;255;255,1.7,9,0,QPSK,-,91.4,8.6,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,18,644,34,66,-,66,9,18.8,30,30,64QAM,0,SMSL,0.8,0,76.6,0.00,0.00,0.10,0.58,Rank 1,4,497,188,-,2 x 2,HandOver,55997,Free,17,FORMAT_0,256,57,Success,55997,2,-,13,5,7,-,188,-,2,32,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,4DF32676,1011,18,30kHz,421,-,4,1,-,-,New trans.,0,0,256QAM,139,1,55997,1009,3,0,0,Pass,0,QPSK,1,16,2,0,15,30kHz,Re trans.,-,4489,
20260725 15:37:16.863,24.830754,102.844194,25.24,1936,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456485,6679580732,1630757,60,Normal,-,1,41,100,100,504990,-,872,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,4,6,-60,111,-87.2,-13.5,-3.6,1,Not Barred,6,6312,-50,504990,872,-87.8;-156;-110.7;-96.3,-,-2.8;-17.1;-18.1;-13.4,6.8;-9.3;-0.9;2.1,-50;-51.4;-68;-50.5,1;6;7;4;5;1;1;0,475;476;8;742;664;944;872;872,-88.9;-113.5;-96.4;-95.2;-101.1;-88.6;-89.1;-87.3,-14.6;-21.5;-12.8;-13.6;-16.6;-13.7;-15.3;-12.8,255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,872;944;475;742;8;664;476,1;1;1;4;7;5;6,-,2;1;1;1;1;1;1,-87.2;-88.6;-90.5;-93.1;-96.1;-102.4;-102.8,-13.5;-13.7;-12.8;-12.1;-15.2;-15.3;-18,-3.6;255;255;255;255;255;255,1.7,9,0,QPSK,-,91.4,8.6,0,0,0.00,0.00,0.03,0.03,0,2,Rank 1,18,644,4,69,-,69,12,15.4,31,12,64QAM,0,SMSL,0,2.2,84.4,0.00,0.00,0.03,0.50,Rank 1,4,360,60,-,4 x 4,HandOver,55997,Free,17,FORMAT_0,256,57,Success,55997,2,-,12,18,7,-,60,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,4DF32676,64,8,30kHz,185,-,4,1,-,-,New trans.,0,0,16QAM,139,1,55997,59,3,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,4489,
20260725 15:37:17.874,24.830736,102.844124,26.50,1936,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456485,6679580732,1630757,60,Normal,-,1,41,100,100,504990,-,872,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,4,6,-60,113,-92.8,-14.8,1,0,Not Barred,6,6312,-49.4,504990,872,-95.5;-97.6;-114.9;-91.4,-,-0.3;-13.2;0.4;0.3,3.1;-4.6;2.4;6.7,-56.3;-49.4;-77.8;-55.3,1;4;7;3;5;0;0;1,475;476;8;742;664;944;872;872,-88.7;-113.4;-101.6;-100.9;-106.1;-98.9;-93.7;-93.6,-11.7;-20.6;-14.1;-12.2;-16.5;-18.3;-14.7;-15.9,255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,872;475;944;742;8;664;476,0;1;0;3;7;5;4,-,2;1;1;1;1;1;1,-92.8;-90.6;-97.9;-101.7;-101.9;-106.8;-107.2,-14.8;-11.7;-18.4;-14.2;-14.6;-16.8;-17.9,1;255;255;255;255;255;255,0.3,2,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,16,112,3,14,-,14,12,8.2,11,7,16QAM,0,SMSL,0,92.3,7.7,0.00,0.00,0.03,0.20,Rank 1,4,92,37,-,4 x 4,HandOver,55997,Free,17,FORMAT_0,256,57,Success,55997,2,-,15,26,7,-,37,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,4DF32676,150,8,30kHz,141,-,4,1,-,-,New trans.,0,0,16QAM,135,1,55997,171,10,0,4,Pass,0,QPSK,0,20,1,0,0,30kHz,Re trans.,-,520,
20260725 15:37:18.885,24.830714,102.844053,27.29,1936,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6679580732,1630757,60,Normal,-,1,41,100,100,504990,-,475,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,1,0,-60,107,-91.5,-12.8,-0.3,1,Not Barred,6,6312,-51.1,504990,475,-90.1;-92.1;-124.4;-87.6,-,-2;4.5;-2.9;8.8,10.7;10.2;-14.5;11.4,-52;-51.1;-82.4;-53.5,1;0;2;5;6;7;3;5;1;1,475;475;475;475;476;8;742;664;944;872,-90.4;-91.8;-96.3;-98.7;-105.8;-92.4;-92.8;-105.6;-98.1;-92.8,-12.5;-13.4;-12.2;-12.5;-18.2;-11;-11;-18.6;-19.5;-14.7,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,475;872;8;742;944;664;476,1;1;7;3;1;5;6,-,4;1;1;1;1;1;1,-91.5;-92.2;-92.8;-94.1;-98.6;-105.9;-106,-12.8;-14.7;-12;-11.8;-19.2;-19.4;-19,-0.3;255;255;255;255;255;255,0.3,2,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,21.4,1,Rank 1,16,112,29,269,-,269,8,21.4,31,31,256QAM,0,SMDL,3.1,1,28.9,0.00,0.00,0.00,0.03,Rank 2,5,431,94,-,4 x 4,HandOver,27578,Free,17,FORMAT_0,249,127,Success,27578,5,-,19,8,4,-,94,-,3,26,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,B83D5D3A,248,18,30kHz,960,-,5,1,-,-,New trans.,0,0,256QAM,159,1,27578,258,11,0,2,Pass,0,QPSK,2,48,1,0,0,30kHz,Re trans.,-,520,
20260725 15:37:19.897,24.830693,102.843985,27.00,1936,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6679580732,1630757,60,Normal,-,1,41,100,100,504990,-,475,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,-2,0,-60,107,-88.3,-13.4,2.2,1,Not Barred,6,6312,-47.9,504990,475,-92.4;-83.7;-99.8;-92,-,2;-0.4;-5.6;-6,8.9;10.6;7.6;8.5,-55.4;-52.4;-63.6;-47.9,1;0;2;5;4;0;2;5;1;1;4,475;475;475;475;476;8;742;664;944;872;665,-87;-88.9;-91.9;-94.3;-115.1;-87.1;-90.6;-105.2;-89.4;-124.7;-114.5,-13.2;-13.8;-14.2;-12.9;-24;-13.3;-12.6;-17.4;-14.5;-31.8;-25.9,255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990,475;8;944;742;872;476;664;665,1;0;1;2;1;4;5;4,-,4;1;1;1;1;1;1;1,-88.3;-86.9;-89.4;-90.4;-99.1;-102.5;-105.7;-114.5,-13.4;-11.9;-14.5;-11.8;-18.7;-18.3;-19.1;-25.9,2.2;255;255;255;255;255;255;255,7,28,0,QPSK,-,100,0,0,0,0.00,0.00,0.02,0.03,14.3,1,Rank 2,31,936,7,69,-,69,10,19.4,31,18,64QAM,0,SMDL,0,0,64.9,0.00,0.00,0.15,0.60,Rank 2,5,385,76,-,4 x 4,HandOver,27578,Free,17,FORMAT_0,249,127,Success,27578,5,-,22,8,4,-,76,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,B83D5D3A,354,8,30kHz,864,-,5,1,-,-,New trans.,0,0,64QAM,128,1,27578,349,3,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,3573,
20260725 15:37:20.911,24.830664,102.843914,29.16,1935,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6453981196,1575679,12,Normal,-,1,41,100,100,504990,-,8,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,2,2,-60,95,-76.1,-10.5,28.3,7,Not Barred,6,6312,-34.9,504990,8,-83.3;-74.4;-82.6;-76.4,-,13.6;20.6;12.5;26.6,10.3;16;12.2;19.6,-46.6;-44.6;-41.9;-34.9,1;6;7;0;6;1;3;4;1;4,475;476;8;8;8;8;742;664;944;665,-88.8;-95.7;-75.3;-77.1;-86.2;-86.2;-87.9;-104.5;-88.8;-99.2,-15.6;-20.6;-10.4;-10.6;-11.1;-12.5;-11.6;-21.2;-15.5;-17.6,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,8;742;944;475;476;665;664,7;3;1;1;6;4;4,-,4;1;1;1;1;1;1,-76.1;-88.4;-88.8;-89.9;-95.5;-99.2;-101.8,-10.5;-11.9;-15.5;-15.8;-20.6;-17.6;-20.1,28.3;255;255;255;255;255;255,6.7,28,0,QPSK,-,100,0,0,0,0.00,0.00,0.01,0.01,10,1,Rank 1,20,180,10,69,-,69,9,22.6,31,31,256QAM,0,SMDL,2.3,0,19.8,0.00,0.00,0.15,0.52,Rank 2,4,408,65,-,4 x 4,HandOver,44489,Free,17,FORMAT_0,726,57,Success,44489,10,-,13,-2,5,-,65,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,B83D5D3A,493,19,30kHz,768,-,4,1,-,-,New trans.,0,0,256QAM,119,1,44489,466,3,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,787,
20260725 15:37:21.920,24.830634,102.843850,26.82,1936,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6453981196,1575679,12,Normal,-,1,41,100,100,504990,-,8,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,1,2,-60,86,-68,-10.4,26.3,7,Not Barred,6,6312,-34.5,504990,8,-72;-68.5;-71.8;-95.6,-,22.2;25.5;255;255,23;25.5;255;255,-34.5;-42.1,2;6;7;0;6;1;3;5;1;3,475;476;8;8;8;8;742;664;944;665,-139.3;-87.3;-67.7;-68.2;-76.9;-77.3;-83.7;-136.7;-137.2;-108,-36.9;-20.5;-10.3;-10.4;-10.5;-10.9;-13;-35.8;-36.4;-26.9,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,8;742;476;665;475;664;944,7;3;6;3;2;5;1,-,4;1;1;1;1;1;1,-68;-85.2;-87.3;-95.9;-133.1;-136.7;-137.2,-10.4;-14.2;-20.5;-21.4;-34.7;-35.8;-36.4,26.3;255;255;255;255;255;255,4.1,28,0,QPSK,-,100,0,0,0,0.00,0.00,0.01,0.01,13.3,1,Rank 1,22,468,15,69,-,69,8,20.8,31,16,64QAM,0,SMDL,0,0,65.1,0.00,0.00,0.06,0.60,Rank 2,4,610,141,-,4 x 4,HandOver,44489,Free,17,FORMAT_0,726,57,Success,44489,10,-,10,-6,5,-,141,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,B83D5D3A,583,19,30kHz,848,-,4,1,-,-,New trans.,0,0,256QAM,239,1,44489,558,3,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,3179,
20260725 15:37:22.931,24.830604,102.843781,27.36,1936,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6677397517,1630224,13,Normal,-,1,41,100,100,504990,-,8,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,1,2,-60,103,-83.2,-11.2,5.7,7,Not Barred,6,6312,-43.5,504990,8,-94.3;-95.3;-94.9;-100.8,-,9.1;-9.6;255;255,16.8;8.9;255;255,-43.5;-59.8,1;6;7;0;1;6;3;5;1,475;476;8;8;8;8;742;664;741,-91;-139.7;-83.6;-82.8;-101.7;-99.6;-83.2;-100.1;-100.6,-14.1;-36.2;-11;-11.4;-21.1;-18.2;-10.7;-15.7;-14.9,255;255;255;255;255;255;255;255;255,1;0;0;0;0;0,504990;504990;504990;504990;504990;504990,8;742;475;741;664;476,7;3;1;1;5;6,-,4;1;1;1;1;1,-83.2;-84.7;-92.3;-100.6;-100.9;-139.7,-11.2;-11.1;-15.8;-14.9;-16.3;-36.2,5.7;255;255;255;255;255,4.1,28,0,QPSK,-,100,0,0,0,0.00,0.00,0.01,0.01,0,1,Rank 1,22,468,4,69,-,69,9,18.6,31,17,64QAM,0,SMDL,0,0,87.2,0.00,0.00,0.21,0.82,Rank 2,4,468,107,-,2 x 2,HandOver,44489,Free,17,FORMAT_0,726,57,Success,44489,10,-,22,11,5,-,107,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,B83D5D3A,686,18,30kHz,656,-,4,1,-,-,-,0,0,64QAM,239,1,44489,647,13,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,3179,
20260725 15:37:23.938,24.830578,102.843711,27.76,1935,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6677397517,1630224,13,Normal,-,1,41,100,100,504990,-,8,513000,513000,30kHz,503172,1099,-,ms20,Connected,SA,-0.7,0,2,-60,108,-88.1,-12.8,6.2,7,Not Barred,6,6312,-46.3,504990,8,-96.6;-98.2;-96.5;-99.2,-,-0.3;-12.5;255;255,11;7.6;255;255,-46.3;-57,1;5;7;0;6;3;5;1;1,475;741;8;8;8;742;664;873;944,-88;-97.8;-87.6;-88.3;-101.7;-85.1;-97.5;-84.7;-111.5,-14.3;-17;-11.8;-13.9;-18.8;-10.9;-15.5;-11.9;-27.2,255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,8;742;873;475;664;741;944,7;3;1;1;5;5;1,-,3;1;1;1;1;1;1,-88.1;-85;-85.7;-88.5;-97.7;-104.8;-111.5,-12.8;-11.1;-12.5;-14.8;-16.2;-22;-27.2,6.2;255;255;255;255;255;255,0,0,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,16,80,6,69,-,69,8,13,30,12,64QAM,0,SMDL,0,5.5,94.5,0.00,0.00,0.08,0.58,Rank 2,5,822,174,-,2 x 2,HandOver,44489,Free,17,FORMAT_0,726,57,Success,44489,10,-,22,22,5,-,174,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,Registered,Normal Service,9,269,18,B83D5D3A,788,8,30kHz,752,-,5,1,-,-,New trans.,0,0,64QAM,215,1,44489,755,14,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,318,
