"TIME","LATITUDE","LONGITUDE","SPEED(M/s)","ALT(M)","ACCURACY(M)","IS_OUTDOOR","X_POS","Y_POS","EVENT","EVENT_ID","TASK_TYPE","APP_DOWN(Mbps)","APP_UP(Mbps)","PING_DELAY(ms)","ISDATASLOT","NETWORK_TYPE","MCC","MNC","OPERATOR","NR5G TAC","NR5G NCI","NR5G gNodeB ID","NR5G Cell ID","NR5G CP Type","NR5G Duplex Mode","NR5G Numerology","NR5G Band","NR5G BandWidth DL","NR5G Bandwidth UL","NR5G SSB ARFCN DL","NR5G SSB ARFCN UL","NR5G PCI","NR5G Center ARFCN DL","NR5G Center ARFCN UL","NR5G SubCarrierSpacing","NR5G Absolute Frequency PointA","NR5G Init BWP Downlink Location Width","NR5G Init BWP Uplink Location Width","NR5G SSB Periodicity","NR5G RRC State","NR5G Connectivity Mode","NR5G Frequency Offset","NR5G Timing Offset","NR5G ServingCellIndex","NR5G Q_LEX_MIN","NR5G Pathloss DL","NR5G SS RSRP","NR5G SS RSRQ","NR5G SS SINR","NR5G SSB Beam Index","NR5G CellBarred","NR5G SubCarrierOffset","NR5G Serving GSCN","NR5G Carrier RSSI","NR5G Handover Target Arfcn","NR5G Handover Target PCI","NR5G SS RSRP Ant List","NR5G SS RSRQ Ant List","NR5G SS SINR Ant List","NR5G TRS SINR Ant List","NR5G SS RSSI Ant List","NR5G SSB Beam Index List","NR5G SSB Beam PCI List","NR5G SSB Beam RSRP List","NR5G SSB Beam RSRQ List","NR5G SSB Beam SINR List","NR5G ServingType List","NR5G Cells ARFCN List","NR5G Cells PCI List","NR5G Cells SSB Index List","NR5G Cells Band List","NR5G Cells BeamNum List","NR5G Cells RSRP List","NR5G Cells RSRQ List","NR5G Cells SINR List","NR5G MCS Avg DL","NR5G MCS Max DL","NR5G MCS Most DL","NR5G Modulation DL","NR5G Trans.Mode","NR5G DL QPSK Ratio(%)/s","NR5G DL 16QAM Ratio(%)/s","NR5G DL 64QAM Ratio(%)/s","NR5G DL 256QAM Ratio(%)/s","NR5G PDCP Tput DL(Mbps)","NR5G RLC Tput DL(Mbps)","NR5G MAC Tput Dl(Mbps)","NR5G PHY Tput DL(Mbps)","NR5G BLER DL","NR5G Layers Num DL","NR5G Rank DL","NR5G RB Num DL/slot","NR5G Pdsch Num RB/s","NR5G Grant Num DL/s","NR5G Pdsch TB Size/slot","NR5G TB0 Avg Size DL/s","NR5G TB1 Avg Size DL/s","NR5G CQI","NR5G MCS Avg UL","NR5G MCS Max UL","NR5G MCS Most UL","NR5G Modulation UL","NR5G Bler UL","NR5G Tx Mode UL","NR5G UL QPSK Ratio(%)/s","NR5G UL 16QAM Ratio(%)/s","NR5G UL 64QAM Ratio(%)/s","NR5G PDCP Tput UL(Mbps)","NR5G RLC Tput UL(Mbps)","NR5G MAC Tput UL(Mbps)","NR5G PHY Tput UL(Mbps)","NR5G Rank UL","NR5G RB Num UL/slot","NR5G Pusch Num RB/s","NR5G Grant Num UL/s","NR5G Pusch TB Size/s","NR5G MIMO","NR5G Rach Reason","NR5G C-RNTI","NR5G RACH Contention","NR5G PRACH Config","NR5G RACH Preamble Format","NR5G RACH LogicalRoot Index","NR5G RACH RA-RNTI","NR5G RACH Access Result","NR5G RACH T-RNTI","NR5G TA","NR5G Access Delay","NR5G PUSCH TxPower(dBm)","NR5G PUCCH TxPower(dBm)","NR5G PRACH TxPower(dBm)","NR5G DCI Format 0_0 Num/s","NR5G DCI Format 0_1 Num/s","NR5G DCI Format 0_2 Num/s","NR5G DCI Format 1_0 Num/s","NR5G DCI Format 1_1 Num/s","NR5G DCI Format 1_2 Num/s","NR5G DCI Format 2_0 Num/s","NR5G DCI Format 2_1 Num/s","NR5G DCI Format 2_2 Num/s","NR5G DCI Format 2_3 Num/s","NR5G DCI Format 0_0 AggLevel","NR5G DCI Format 0_1 AggLevel","NR5G DCI Format 1_0 AggLevel","NR5G DCI Format 1_1 AggLevel","NR5G DCI Format 2_0 AggLevel","NR5G DCI Format 2_1 AggLevel","NR5G DCI Format 2_2 AggLevel","NR5G DCI Format 2_3 AggLevel","NR5G MM State","NR5G MM Sub State","NR5G AMF Region ID","NR5G AMF SET ID","NR5G AMF Pointer","NR5G TMSI","NR5G Pusch Frame","NR5G Pusch Slot","NR5G Pusch SCS","NR5G Pusch TB Size/slot","NR5G Pusch TBIndex","NR5G Pusch Num RB/slot","NR5G Pusch BWP Id","NR5G Pusch TxPower","NR5G Pusch Actual TxPower","NR5G Pusch TxType","NR5G Pusch Carrier ID","NR5G Pusch HARQ ID","NR5G Pusch Modulation","NR5G Pusch Start RB","NR5G Pusch TPC","NR5G Pusch RNTI","NR5G Pdsch Frame","NR5G Pdsch Slot","NR5G Pdsch TB Index","NR5G Pdsch RNTI Type","NR5G Pdsch CRC Status","NR5G Pdsch NDI","NR5G Pdsch Modulation","NR5G Pdsch MCS","NR5G Pdsch Num RB/slot","NR5G Pdsch Num Layers","NR5G Pdsch Carrier ID","NR5G Pdsch HARQ ID","NR5G Pdsch SCS","NR5G Pdsch TxType","NR5G Pdsch BWP ID","NR5G Pdsch TB Size/s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA4919EA,EC624327,E97D2DB1,9581D094,84B5E45B,73EA1822,B7198906,421ADD10,63B29582,52E6A949,A6E20666,A64DBCCD,747E61BB,B9FEBE7C,6603415F,314EF0D7,96163A2D,F5A6C7A9,49A224C7,8013B21A,45945C1F,34C86FE6,9866E60A,CACA8AB5,854A4DF4,DB9676EE,4ED8C0A1,3E0CF468,70709913,5FA4ACDA,FEEB4C2B,EE1F7FF2,FB73865,BBBBDB47,DD5393B9,280A6C55,5A6E1100,E3B2283E,8FB6CB21,7EEAFEE8,B14E8393,F88BFD1F,264CB3B,F198FF01,813C654C,B3A009F7,A2D43DBE,88C3CD03,77F7E0CA,AA5B8575,A932D243,998FB93C,5F104341,4E447708,80A81BB3,6FDC2F7A,EA11974A,23FC83AD,1330B774,D945AB11,5B027A99,8D661F44,7C9A330B,289ED5EE,17D2E9B5,B7ADF29F,C879DED8,1C753BF6,1BE0D25D,6BCE46D2,3D788ACF,2CACBE96,D8B14178,C30BB7F8,FD2E2F60,9D6616DE,455CD119,3490E4E0,C7E5753F,5E7BF9A8,BF355A56,AE696E1D,41867377,C34322FE,6F47C5E1,D0959028,BFC9A3EF,52525FB0,9E31EB7D,AEFDD7B6,2F934D4,B14E624,A1AB6A8C,D40F0F37,CBBBD2E1,DFA1B9A,DC87BF1A,173E801C,4A368E60,396AA227,E56F4509,D4A378D0,7071D7C,F63B3142,A23FD425,9173E7EC,C3D78C97,B30BA05E,788C4A63,8958369C,2490ED46,4628A5B8,D001268F,7C05C972,6B39FD39,9D9D81E4,8CD1B5AB,1F5A516C,E8E6533,40F209DE,30263DA5,DC2AC087,5DE4A4A,F5127E10,277602BC,16AA3683,C2AED965,B1E2ED2C,E44691D7,D37AA59E,A54A5D28,947E70EF,C6E2159A,B6162961,621ACC44,514EE00B,954A458E,847E7955,B6E21E00,A61631C7,521AD4AA,414EE871,73B28D1C,62E6A0E3,EEB43C6,FE1F778C,30831C38,1FB72FFF,BAEFE6A8,ED538B53,A208491F,913C7CE6,7BCE5E6C,6B027233,8C9A2AA5,389ECD88,27D2E14F,5A3685FA,496AB9C1,F56F5CA3,E4A3706A,17071516,63B28DD,B23FCBBF,A173FF86,D3D78431,888C41FD,5628BD52,
20260725 15:13:45.133,24.825398,102.852090,0.00,1946,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-4,1,-,99,-78,-10.6,20.5,2,-,-,6312,-45.5,-,-,-76.3;-74.8;-81.5;-75.5,-,14.3;20.7;255;255,25;27.9;255;255,-46.6;-45.5,5;2;6;3;4;7;4;1,237;238;238;238;238;560;532;497,-97.8;-79.8;-85.3;-79.5;-89.5;-93.6;-105.8;-96.1,-17.8;-10.6;-11.1;-10.7;-11.3;-14;-21.7;-19,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,238;560;497;237;532,2;7;1;5;4,-,4;1;1;1;1,-78;-93.2;-96.1;-97.8;-100.5,-10.6;-14.1;-19;-17.8;-19.8,20.5;255;255;255;255,1.3,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,17,68,3,19,-,19,13,24.4,31,25,256QAM,0,SMDL,0,0,6,0.00,0.00,0.01,0.47,Rank 2,4,268,83,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,-3,9,-,-,83,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,193,9,30kHz,848,-,4,1,-,-,New trans.,0,0,256QAM,139,1,11483,257,12,0,4,Pass,0,QPSK,0,28,1,0,0,30kHz,Re trans.,-,292,
20260725 15:13:46.148,24.825400,102.852092,1.51,1946,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-4,1,-,94,-72.8,-10.4,20,2,-,-,6312,-39.4,-,-,-75;-75.5;-90;-84,-,14.2;22.9;255;255,27.3;29.5;255;255,-39.4;-40.8;-57.8;-55.4,5;2;3;4;1;3;6;1,237;238;238;238;238;560;532;497,-137.9;-72.3;-73.5;-83.5;-84;-96.3;-104.5;-151.5,-35.3;-10.4;-10.5;-10.7;-11.3;-24.3;-23.9;-40.9,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,238;560;532;237;497,2;3;6;5;1,-,4;1;1;1;1,-72.8;-89.8;-104.5;-137.9;-151.5,-10.4;-15.9;-23.8;-35.3;-40.9,20;255;255;255;255,1.3,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,20,60,3,106,-,106,13,18,20,18,64QAM,0,SMDL,0,0,90,0.00,0.00,0.05,0.05,Rank 2,4,40,83,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,3,0,-,-,83,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,415,19,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,127,1,11483,409,4,0,0,Pass,1,QPSK,2,16,2,0,15,30kHz,Re trans.,-,733,
20260725 15:13:47.158,24.825405,102.852102,6.44,1946,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-4,1,-,96,-76.5,-10.8,20,2,-,-,6312,-40.5,-,-,-77;-78.1;-87.3;-82,-,13.8;20.7;255;255,23.3;24.5;255;255,-40.5;-42.6,5;2;3;4;1;7;6;1;1;6,237;238;238;238;238;560;532;497;558;239,-101.3;-75.6;-78.3;-86.9;-87;-87.9;-99.4;-115.9;-90.6;-101.8,-20.9;-10.5;-11;-11.1;-12.4;-12.8;-20.4;-27.4;-15.4;-22.5,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,238;560;558;532;237;239;497,2;7;1;6;5;6;1,-,4;1;1;1;1;1;1,-76.5;-86.7;-91.1;-99.2;-101.3;-101.8;-114,-10.8;-13.6;-15.6;-20.5;-20.9;-22.5;-26.4,20;255;255;255;255;255;255,3.7,14,2,QPSK,-,73.9,17.4,8.7,0,0.04,0.04,0.06,0.07,0,2,Rank 1,24,561,18,69,-,69,13,23.8,31,25,256QAM,0,SMDL,0,0,6.7,0.03,0.03,0.07,0.96,Rank 2,4,548,136,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,1,5,-,-,136,-,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,521,19,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,155,1,11483,513,13,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,11090,
20260725 15:13:48.164,24.825414,102.852121,8.68,1946,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-4,1,-,97,-77.5,-11.2,10.4,2,-,-,6312,-39.8,-,-,-78.3;-90.5;-91.2;-85,-,9.4;9;255;255,22.1;18.8;255;255,-39.8;-54.8,5;2;3;6;1;0;1;5;0,237;238;238;238;238;560;558;239;497,-104.7;-75.8;-80.6;-85;-87.1;-81.3;-88.4;-99.8;-119.9,-19.2;-10.6;-12.2;-10.9;-13.4;-11.2;-15.3;-16.4;-28.4,255;255;255;255;255;255;255;255;255,1;0;0;0;0;0,504990;504990;504990;504990;504990;504990,238;560;558;239;237;497,2;0;1;5;5;0,-,4;1;1;1;1;1,-77.5;-82.9;-89.2;-100.2;-104.7;-119.9,-11.2;-12.6;-15.4;-17.7;-19.2;-28.4,10.4;255;255;255;255;255,3.7,14,2,QPSK,-,73.9,17.4,8.7,0,0.00,0.00,0.02,0.03,0,2,Rank 1,24,561,7,106,-,106,13,24.9,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.01,1.07,Rank 2,4,572,143,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,4,5,-,-,143,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,614,19,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,157,1,11483,590,3,0,0,Pass,1,QPSK,2,16,2,0,15,30kHz,Re trans.,-,11090,
20260725 15:13:49.178,24.825427,102.852145,11.66,1946,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-3,1,-,95,-75.5,-10.7,19.2,2,-,-,6312,-35.4,-,-,-71.6;-82.7;-78;-76.9,-,22.8;7.8;255;255,13.7;22.2;255;255,-35.4;-45.8,0;2;3;1;4;7;4;4,239;238;238;238;238;560;558;497,-134.8;-74.7;-77.2;-84.1;-85.2;-91;-92.1;-99.6,-35.4;-10.6;-10.9;-11.6;-11.4;-13.7;-18.5;-21,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,238;560;558;497;239,2;7;4;4;0,-,4;1;1;1;1,-75.5;-89.1;-92.7;-99.6;-135.1,-10.7;-13.9;-18;-21;-34.6,19.2;255;255;255;255,1,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,16,64,2,69,-,69,12,25,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.05,0.50,Rank 2,4,268,77,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,7,0,-,-,77,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,719,18,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,176,1,11483,698,13,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,350,
20260725 15:13:50.189,24.825448,102.852174,14.72,1946,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-4,1,-,93,-62.1,-10.4,29.2,2,-,-,6312,-25.5,-,-,-62;-60;-93;-66.4,-,26;27.2;255;255,19.3;24.4;255;255,-27.1;-25.5,5;2;3;1;4;0;1;4,239;238;238;238;238;560;558;497,-155.2;-60.8;-63.6;-70.3;-71.5;-86.2;-79.7;-155.7,-42.7;-10.4;-10.4;-10.4;-10.5;-19.2;-19.5;-42.9,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,238;558;560;239;497,2;1;0;5;4,-,4;1;1;1;1,-62.1;-80.8;-87.4;-153.5;-155.7,-10.4;-20.3;-20.3;-42.1;-42.9,29.2;255;255;255;255,1,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,16,64,4,66,-,66,13,23.3,31,25,256QAM,0,SMDL,0,0,30.2,0.00,0.00,0.09,0.61,Rank 2,4,384,97,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,7,-14,-,-,97,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,764,9,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,135,0,11483,738,3,0,0,Pass,1,QPSK,1,16,2,0,15,30kHz,Re trans.,-,350,
20260725 15:13:51.203,24.825473,102.852207,16.52,1946,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-3,1,-,82,-63.4,-10.4,31.4,2,-,-,6312,-25.6,-,-,-65.2;-61;-98.7;-67.5,-,30;31.4;255;255,25.8;26.4;255;255,-29.8;-25.6,5;2;3;1;4;0;1;7,239;238;238;238;238;560;558;497,-156;-62.1;-64.9;-72.1;-73.1;-88.4;-80.9;-132.4,-43;-10.3;-10.4;-10.4;-10.4;-19.6;-19.5;-34.6,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,238;558;560;497;239,2;1;0;7;5,-,4;1;1;1;1,-63.4;-82.6;-88.4;-140.8;-156,-10.4;-20;-19.7;-37.6;-43,31.4;255;255;255;255,1,3,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,16,64,1,640,-,640,13,19.4,31,14,64QAM,0,SMDL,0,0,59.6,0.00,0.00,0.01,0.25,Rank 2,4,188,45,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,-2,-16,-,-,45,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,919,19,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,139,1,11483,920,13,0,0,Pass,0,64QAM,14,16,2,0,14,30kHz,Re trans.,-,361,
20260725 15:13:52.208,24.825503,102.852240,17.64,1947,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-3,1,-,78,-60.4,-10.4,30.6,2,-,-,6312,-25.6,-,-,-61.6;-60.4;-99.4;-66.8,-,28.9;31.3;255;255,28.4;29.9;255;255,-26.1;-25.6,7;2;3;1;4;0;1,497;238;238;238;238;560;558,-87.6;-59.2;-62.5;-69.5;-70.6;-84.3;-79.3,-19.8;-10.4;-10.4;-10.4;-10.4;-18.1;-19.6,255;255;255;255;255;255;255,1;0;0;0,504990;504990;504990;504990,238;558;560;497,2;1;0;7,-,4;1;1;1,-60.4;-80.6;-84.9;-87.6,-10.4;-20.4;-18.5;-19.8,30.6;255;255;255,6,21,2,QPSK,-,60,11.3,27.5,1.3,0.27,0.29,0.01,0.01,0,2,Rank 1,30,2448,76,106,-,106,13,25,31,25,256QAM,0,SMDL,0,0,0,0.07,0.07,0.16,1.08,Rank 2,4,576,165,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,-5,-11,-,-,165,-,1,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,994,19,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,103,1,11483,969,12,0,0,Pass,1,QPSK,2,16,2,0,15,30kHz,Re trans.,-,74770,
20260725 15:13:53.219,24.825539,102.852274,20.34,1947,3,1,0.00,0.00,,,,,,,1,SA,,,中国移动,-,6471196684,1579882,12,Normal,-,1,41,100,100,504990,-,238,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.9,-3,1,-,80,-59.8,-10.4,32.1,2,-,-,6312,-21.8,-,-,-57.2;-58.6;-99.3;-62.8,-,32.7;32.3;255;255,32.2;32.8;255;255,-21.8;-23.1,7;2;3;4;6;0;1,497;238;238;238;238;560;558,-137;-58.5;-61.3;-69;-69.3;-138.5;-77.8,-37;-10.4;-10.4;-10.4;-10.5;-37.5;-19.4,255;255;255;255;255;255;255,1;0;0;0,504990;504990;504990;504990,238;558;497;560,2;1;7;0,-,4;1;1;1,-59.8;-79;-137;-138.5,-10.4;-20.3;-37;-37.5,32.1;255;255;255,6,21,2,QPSK,-,60,11.3,27.5,1.3,0.12,0.10,0.58,0.61,0,2,Rank 1,30,2448,12,106,-,106,13,24.9,27,25,256QAM,0,SMDL,0,0,0,0.05,0.07,0.02,0.86,Rank 2,4,460,126,-,2 x 2,-,11483,-,-,-,-,-,-,-,-,-,-4,-12,-,-,126,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,19,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,139,1,11483,3,13,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,74770,
