"TIME","LATITUDE","LONGITUDE","SPEED(M/s)","ALT(M)","ACCURACY(M)","IS_OUTDOOR","X_POS","Y_POS","EVENT","EVENT_ID","TASK_TYPE","APP_DOWN(Mbps)","APP_UP(Mbps)","PING_DELAY(ms)","ISDATASLOT","NETWORK_TYPE","MCC","MNC","OPERATOR","NR5G TAC","NR5G NCI","NR5G gNodeB ID","NR5G Cell ID","NR5G CP Type","NR5G Duplex Mode","NR5G Numerology","NR5G Band","NR5G BandWidth DL","NR5G Bandwidth UL","NR5G SSB ARFCN DL","NR5G SSB ARFCN UL","NR5G PCI","NR5G Center ARFCN DL","NR5G Center ARFCN UL","NR5G SubCarrierSpacing","NR5G Absolute Frequency PointA","NR5G Init BWP Downlink Location Width","NR5G Init BWP Uplink Location Width","NR5G SSB Periodicity","NR5G RRC State","NR5G Connectivity Mode","NR5G Frequency Offset","NR5G Timing Offset","NR5G ServingCellIndex","NR5G Q_LEX_MIN","NR5G Pathloss DL","NR5G SS RSRP","NR5G SS RSRQ","NR5G SS SINR","NR5G SSB Beam Index","NR5G CellBarred","NR5G SubCarrierOffset","NR5G Serving GSCN","NR5G Carrier RSSI","NR5G Handover Target Arfcn","NR5G Handover Target PCI","NR5G SS RSRP Ant List","NR5G SS RSRQ Ant List","NR5G SS SINR Ant List","NR5G TRS SINR Ant List","NR5G SS RSSI Ant List","NR5G SSB Beam Index List","NR5G SSB Beam PCI List","NR5G SSB Beam RSRP List","NR5G SSB Beam RSRQ List","NR5G SSB Beam SINR List","NR5G ServingType List","NR5G Cells ARFCN List","NR5G Cells PCI List","NR5G Cells SSB Index List","NR5G Cells Band List","NR5G Cells BeamNum List","NR5G Cells RSRP List","NR5G Cells RSRQ List","NR5G Cells SINR List","NR5G MCS Avg DL","NR5G MCS Max DL","NR5G MCS Most DL","NR5G Modulation DL","NR5G Trans.Mode","NR5G DL QPSK Ratio(%)/s","NR5G DL 16QAM Ratio(%)/s","NR5G DL 64QAM Ratio(%)/s","NR5G DL 256QAM Ratio(%)/s","NR5G PDCP Tput DL(Mbps)","NR5G RLC Tput DL(Mbps)","NR5G MAC Tput Dl(Mbps)","NR5G PHY Tput DL(Mbps)","NR5G BLER DL","NR5G Layers Num DL","NR5G Rank DL","NR5G RB Num DL/slot","NR5G Pdsch Num RB/s","NR5G Grant Num DL/s","NR5G Pdsch TB Size/slot","NR5G TB0 Avg Size DL/s","NR5G TB1 Avg Size DL/s","NR5G CQI","NR5G MCS Avg UL","NR5G MCS Max UL","NR5G MCS Most UL","NR5G Modulation UL","NR5G Bler UL","NR5G Tx Mode UL","NR5G UL QPSK Ratio(%)/s","NR5G UL 16QAM Ratio(%)/s","NR5G UL 64QAM Ratio(%)/s","NR5G PDCP Tput UL(Mbps)","NR5G RLC Tput UL(Mbps)","NR5G MAC Tput UL(Mbps)","NR5G PHY Tput UL(Mbps)","NR5G Rank UL","NR5G RB Num UL/slot","NR5G Pusch Num RB/s","NR5G Grant Num UL/s","NR5G Pusch TB Size/s","NR5G MIMO","NR5G Rach Reason","NR5G C-RNTI","NR5G RACH Contention","NR5G PRACH Config","NR5G RACH Preamble Format","NR5G RACH LogicalRoot Index","NR5G RACH RA-RNTI","NR5G RACH Access Result","NR5G RACH T-RNTI","NR5G TA","NR5G Access Delay","NR5G PUSCH TxPower(dBm)","NR5G PUCCH TxPower(dBm)","NR5G PRACH TxPower(dBm)","NR5G DCI Format 0_0 Num/s","NR5G DCI Format 0_1 Num/s","NR5G DCI Format 0_2 Num/s","NR5G DCI Format 1_0 Num/s","NR5G DCI Format 1_1 Num/s","NR5G DCI Format 1_2 Num/s","NR5G DCI Format 2_0 Num/s","NR5G DCI Format 2_1 Num/s","NR5G DCI Format 2_2 Num/s","NR5G DCI Format 2_3 Num/s","NR5G DCI Format 0_0 AggLevel","NR5G DCI Format 0_1 AggLevel","NR5G DCI Format 1_0 AggLevel","NR5G DCI Format 1_1 AggLevel","NR5G DCI Format 2_0 AggLevel","NR5G DCI Format 2_1 AggLevel","NR5G DCI Format 2_2 AggLevel","NR5G DCI Format 2_3 AggLevel","NR5G MM State","NR5G MM Sub State","NR5G AMF Region ID","NR5G AMF SET ID","NR5G AMF Pointer","NR5G TMSI","NR5G Pusch Frame","NR5G Pusch Slot","NR5G Pusch SCS","NR5G Pusch TB Size/slot","NR5G Pusch TBIndex","NR5G Pusch Num RB/slot","NR5G Pusch BWP Id","NR5G Pusch TxPower","NR5G Pusch Actual TxPower","NR5G Pusch TxType","NR5G Pusch Carrier ID","NR5G Pusch HARQ ID","NR5G Pusch Modulation","NR5G Pusch Start RB","NR5G Pusch TPC","NR5G Pusch RNTI","NR5G Pdsch Frame","NR5G Pdsch Slot","NR5G Pdsch TB Index","NR5G Pdsch RNTI Type","NR5G Pdsch CRC Status","NR5G Pdsch NDI","NR5G Pdsch Modulation","NR5G Pdsch MCS","NR5G Pdsch Num RB/slot","NR5G Pdsch Num Layers","NR5G Pdsch Carrier ID","NR5G Pdsch HARQ ID","NR5G Pdsch SCS","NR5G Pdsch TxType","NR5G Pdsch BWP ID","NR5G Pdsch TB Size/s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA4919EA,EC624327,E97D2DB1,9581D094,84B5E45B,73EA1822,B7198906,421ADD10,63B29582,52E6A949,A6E20666,A64DBCCD,747E61BB,B9FEBE7C,6603415F,314EF0D7,96163A2D,F5A6C7A9,49A224C7,8013B21A,45945C1F,34C86FE6,9866E60A,CACA8AB5,854A4DF4,DB9676EE,4ED8C0A1,3E0CF468,70709913,5FA4ACDA,FEEB4C2B,EE1F7FF2,FB73865,BBBBDB47,DD5393B9,280A6C55,5A6E1100,E3B2283E,8FB6CB21,7EEAFEE8,B14E8393,F88BFD1F,264CB3B,F198FF01,813C654C,B3A009F7,A2D43DBE,88C3CD03,77F7E0CA,AA5B8575,A932D243,998FB93C,5F104341,4E447708,80A81BB3,6FDC2F7A,EA11974A,23FC83AD,1330B774,D945AB11,5B027A99,8D661F44,7C9A330B,289ED5EE,17D2E9B5,B7ADF29F,C879DED8,1C753BF6,1BE0D25D,6BCE46D2,3D788ACF,2CACBE96,D8B14178,C30BB7F8,FD2E2F60,9D6616DE,455CD119,3490E4E0,C7E5753F,5E7BF9A8,BF355A56,AE696E1D,41867377,C34322FE,6F47C5E1,D0959028,BFC9A3EF,52525FB0,9E31EB7D,AEFDD7B6,2F934D4,B14E624,A1AB6A8C,D40F0F37,CBBBD2E1,DFA1B9A,DC87BF1A,173E801C,4A368E60,396AA227,E56F4509,D4A378D0,7071D7C,F63B3142,A23FD425,9173E7EC,C3D78C97,B30BA05E,788C4A63,8958369C,2490ED46,4628A5B8,D001268F,7C05C972,6B39FD39,9D9D81E4,8CD1B5AB,1F5A516C,E8E6533,40F209DE,30263DA5,DC2AC087,5DE4A4A,F5127E10,277602BC,16AA3683,C2AED965,B1E2ED2C,E44691D7,D37AA59E,A54A5D28,947E70EF,C6E2159A,B6162961,621ACC44,514EE00B,954A458E,847E7955,B6E21E00,A61631C7,521AD4AA,414EE871,73B28D1C,62E6A0E3,EEB43C6,FE1F778C,30831C38,1FB72FFF,BAEFE6A8,ED538B53,A208491F,913C7CE6,7BCE5E6C,6B027233,8C9A2AA5,389ECD88,27D2E14F,5A3685FA,496AB9C1,F56F5CA3,E4A3706A,17071516,63B28DD,B23FCBBF,A173FF86,D3D78431,888C41FD,5628BD52,
20260725 15:21:25.058,24.825574,102.848791,0.00,1949,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.2,-5,0,-,86,-67.3,-10.4,25,2,-,-,6312,-31.1,-,-,-75.2;-67;-72.4;-71.2,-,18.8;24.6;255;255,14.1;17.3;255;255,-39.3;-31.1,2;1;0;3;4;0;4;4,721;721;721;721;722;252;701;560,-67.3;-75.9;-80.6;-81.9;-89.9;-156;-87;-92.3,-10.4;-10.4;-10.4;-10.6;-18.7;-43;-15.8;-20.9,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,721;701;722;560;252,2;4;4;4;0,-,4;1;1;1;1,-67.3;-87;-91;-92.5;-156,-10.4;-15.8;-15.5;-20.6;-43,25;255;255;255;255,2.1,5,2,QPSK,-,85.7,14.3,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,16,116,4,106,-,106,13,25.6,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.02,0.42,Rank 2,4,224,57,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,7,3,-,-,57,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,8,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,159,1,42569,6,16,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,805,
20260725 15:21:26.074,24.825574,102.848791,0.00,1949,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.1,-5,0,-,89,-71.1,-10.4,28.8,2,-,-,6312,-36,-,-,-75.6;-72.6;-65.3;-74.9,-,21.6;20.7;255;255,10.9;16.8;255;255,-40.6;-36,2;1;0;4;5;3;4;5,721;721;721;721;722;560;701;793,-71.1;-78.7;-83;-84.5;-92.4;-101.3;-90.6;-96.3,-10.4;-10.5;-10.5;-12.2;-15.7;-21.4;-15.2;-13.9,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,721;701;722;793;560,2;4;5;5;3,-,4;1;1;1;1,-71.1;-90.6;-93;-96.3;-101.5,-10.4;-15.2;-17;-13.9;-20.8,28.8;255;255;255;255,2,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,16,96,4,69,-,69,13,24.9,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.02,0.42,Rank 2,4,284,57,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,4,2,-,-,57,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,19,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,179,1,42569,207,14,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,957,
20260725 15:21:27.086,24.825575,102.848792,0.00,1949,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.2,-5,0,-,85,-67.3,-10.4,27.4,2,-,-,6312,-29.6,-,-,-65.2;-72.7;-84.3;-72.8,-,28;20.5;255;255,18;15.8;255;255,-29.6;-37,2;1;3;0;5;4;4;5,721;721;721;721;722;560;701;793,-67.3;-73.9;-77.1;-79;-93.4;-91.6;-90;-93.9,-10.4;-10.4;-10.5;-10.5;-15.3;-21;-15.6;-18.5,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,721;701;560;793;722,2;4;4;5;5,-,4;1;1;1;1,-67.3;-90;-91.7;-93.9;-95.1,-10.4;-15.6;-21;-18.5;-15.9,27.4;255;255;255;255,2,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.01,0.01,0,2,Rank 1,16,96,6,106,-,106,13,24.9,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.04,0.53,Rank 2,4,284,75,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,1,-4,-,-,75,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,328,8,30kHz,944,-,4,1,-,-,New trans.,0,0,256QAM,184,1,42569,271,13,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,957,
20260725 15:21:28.097,24.825575,102.848792,0.00,1949,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.2,-5,0,-,85,-66,-10.4,28.2,2,-,-,6312,-26.9,-,-,-61.5;-67.7;-76.7;-78.1,-,28.9;21.1;255;255,18.4;9.7;255;255,-26.9;-32.9,2;1;0;7;5;4;4;5,721;721;721;721;722;560;701;793,-65.1;-73.7;-79.5;-81;-103.4;-88.5;-95.6;-108.2,-10.4;-10.5;-10.6;-10.6;-21.8;-18.2;-22.3;-25,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,721;560;722;701;793,2;4;5;4;5,-,4;1;1;1;1,-66;-89.8;-90.9;-95.6;-108.2,-10.4;-19.2;-17.4;-22.3;-25,28.2;255;255;255;255,2,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.01,0.01,0,2,Rank 1,16,96,6,106,-,106,13,24.9,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.00,Rank 2,4,0,75,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,1,-5,-,-,75,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,328,8,30kHz,944,-,4,1,-,-,New trans.,0,0,256QAM,184,1,42569,271,13,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,957,
20260725 15:21:29.112,24.825575,102.848792,0.00,1949,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.2,-5,0,-,80,-65.1,-10.4,27.1,2,-,-,6312,-29.1,-,-,-64.5;-72.5;-88;-67.9,-,26;16;255;255,13.6;6.7;255;255,-29.1;-38.3,2;3;1;4;4;3;4;5,721;721;721;721;722;560;701;793,-65.1;-75.8;-77.8;-83.6;-94.4;-96;-92.5;-94.2,-10.4;-10.4;-10.6;-12.8;-17.4;-24.7;-20.4;-19.2,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,721;560;722;701;793,2;3;4;4;5,-,4;1;1;1;1,-65.1;-89.7;-90.2;-92.5;-94.2,-10.4;-18.6;-15.8;-20.4;-19.2,27.1;255;255;255;255,1.9,5,2,QPSK,-,87.5,12.5,0,0,0.00,0.01,0.00,0.00,0,2,Rank 1,22,176,2,106,-,106,13,25.1,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.00,Rank 2,4,432,54,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,3,-3,-,-,54,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,503,8,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,152,1,42569,478,4,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,1683,
20260725 15:21:30.122,24.825587,102.848788,1.80,1949,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.2,-5,0,-,84,-65,-10.4,28.3,2,-,-,6312,-29,-,-,-64.8;-71.4;-72.4;-67.1,-,26.6;19;255;255,18.6;10.2;255;255,-29;-36.3,2;3;1;0;4;3;4;5;5;5,721;721;721;721;722;560;701;793;7;559,-65;-74.7;-75.1;-81.7;-87.3;-95.1;-155;-148.3;-94.5;-92.1,-10.4;-10.4;-10.5;-10.6;-14.3;-25.6;-42.6;-40.3;-20.3;-19,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,721;722;560;559;7;793;701,2;4;3;5;5;5;4,-,4;1;1;1;1;1;1,-65;-88;-88.7;-92.1;-95.8;-148.3;-155,-10.4;-14.4;-20.8;-19;-20.3;-40.3;-42.6,28.3;255;255;255;255;255;255,2,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,16,80,5,14,-,14,13,25.1,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.01,0.80,Rank 2,4,432,109,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,0,-2,-,-,109,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,580,9,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,184,1,42569,577,12,0,4,Pass,0,QPSK,0,20,1,0,0,30kHz,Re trans.,-,530,
20260725 15:21:31.130,24.825594,102.848792,0.00,1948,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.2,-6,0,-,78,-59.7,-10.4,32.9,2,-,-,6312,-24.3,-,-,-58.9;-63.1;-70.2;-60.2,-,32.9;26.8;27;19.9,23.6;12.7;255;255,-24.3;-27.6,2;1;0;7;4;4;4;5;5;5,721;721;721;721;722;560;701;793;7;559,-59.7;-74.1;-78.2;-79.9;-87.6;-87.3;-91.8;-134.4;-91.9;-92.8,-10.4;-10.4;-10.4;-10.5;-15.7;-15.4;-20.5;-35;-17.5;-19.3,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,721;722;560;701;7;559;793,2;4;4;4;5;5;5,-,4;1;1;1;1;1;1,-59.7;-87.8;-89.2;-91.8;-92.1;-92.8;-134.4,-10.4;-15.7;-16.6;-20.5;-17.4;-19.3;-35,32.9;255;255;255;255;255;255,1,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,18,36,3,106,-,106,12,25.8,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.06,0.06,Rank 2,4,184,44,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,-1,-8,-,-,44,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,744,9,30kHz,944,-,4,1,-,-,New trans.,0,0,256QAM,95,1,42569,722,3,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,120,
20260725 15:21:32.136,24.825598,102.848795,0.00,1948,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.2,-1,0,-,74,-60.8,-10.4,32.6,2,-,-,6312,-21.1,-,-,-61.3;-56.7;-72.5;-66,-,30.8;32.1;255;255,26.1;23.5;255;255,-26.4;-21.1,2;3;1;0;4;4;4;5;5;5,721;721;721;721;722;560;701;793;7;559,-60.7;-71;-71.1;-75.1;-92.8;-89.1;-93.9;-100.1;-99.1;-103.6,-10.4;-10.5;-10.4;-10.4;-17.7;-18.5;-18.6;-22.3;-21.9;-22.5,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,721;722;560;701;7;793;559,2;4;4;4;5;5;5,-,4;1;1;1;1;1;1,-60.8;-89.3;-90;-93.9;-99.1;-100.1;-103.6,-10.4;-15.6;-17.9;-18.6;-21.9;-22.3;-22.5,32.6;255;255;255;255;255;255,1,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,18,36,5,106,-,106,13,25,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.05,0.34,Rank 2,4,296,117,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,-5,-6,-,-,117,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,782,9,30kHz,944,-,4,1,-,-,New trans.,0,0,256QAM,100,1,42569,756,14,0,0,Pass,0,QPSK,2,16,2,0,15,30kHz,Re trans.,-,120,
20260725 15:21:33.147,24.825601,102.848795,0.00,1948,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443511821,1573123,13,Normal,-,1,41,-,-,504990,-,721,-,-,30kHz,-,-,-,ms20,-,SA,-0.2,-1,0,-,80,-70.1,-10.5,27.5,2,-,-,6312,-26.9,-,-,-67.8;-63.5;-72.8;-61.8,-,13.4;26;255;255,17;17.8;255;255,-30.8;-26.9,2;1;3;0;5;4;4;5;5;5,721;721;721;721;722;560;701;793;7;559,-69.2;-74.3;-75.8;-79.7;-88.5;-88;-132.7;-91.6;-94;-103.6,-10.5;-10.4;-10.5;-10.5;-16.4;-16.7;-34.7;-16;-21;-23.2,255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990,721;722;560;793;7;559;701,2;5;4;5;5;5;4,-,4;1;1;1;1;1;1,-70.1;-87.7;-89.3;-91.6;-94.1;-103.6;-132.7,-10.5;-16.2;-17.6;-16;-21;-23.2;-34.7,27.5;255;255;255;255;255;255,1.7,2,2,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,16,96,1,69,-,69,13,25.4,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.05,0.35,Rank 2,4,124,20,-,2 x 2,-,42569,-,-,-,-,-,-,-,-,-,2,0,-,-,20,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,893,8,30kHz,896,-,4,1,-,-,New trans.,0,0,256QAM,99,2,42569,868,4,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,599,
