"TIME","LATITUDE","LONGITUDE","SPEED(M/s)","ALT(M)","ACCURACY(M)","IS_OUTDOOR","X_POS","Y_POS","EVENT","EVENT_ID","TASK_TYPE","APP_DOWN(Mbps)","APP_UP(Mbps)","PING_DELAY(ms)","ISDATASLOT","NETWORK_TYPE","MCC","MNC","OPERATOR","NR5G TAC","NR5G NCI","NR5G gNodeB ID","NR5G Cell ID","NR5G CP Type","NR5G Duplex Mode","NR5G Numerology","NR5G Band","NR5G BandWidth DL","NR5G Bandwidth UL","NR5G SSB ARFCN DL","NR5G SSB ARFCN UL","NR5G PCI","NR5G Center ARFCN DL","NR5G Center ARFCN UL","NR5G SubCarrierSpacing","NR5G Absolute Frequency PointA","NR5G Init BWP Downlink Location Width","NR5G Init BWP Uplink Location Width","NR5G SSB Periodicity","NR5G RRC State","NR5G Connectivity Mode","NR5G Frequency Offset","NR5G Timing Offset","NR5G ServingCellIndex","NR5G Q_LEX_MIN","NR5G Pathloss DL","NR5G SS RSRP","NR5G SS RSRQ","NR5G SS SINR","NR5G SSB Beam Index","NR5G CellBarred","NR5G SubCarrierOffset","NR5G Serving GSCN","NR5G Carrier RSSI","NR5G Handover Target Arfcn","NR5G Handover Target PCI","NR5G SS RSRP Ant List","NR5G SS RSRQ Ant List","NR5G SS SINR Ant List","NR5G TRS SINR Ant List","NR5G SS RSSI Ant List","NR5G SSB Beam Index List","NR5G SSB Beam PCI List","NR5G SSB Beam RSRP List","NR5G SSB Beam RSRQ List","NR5G SSB Beam SINR List","NR5G ServingType List","NR5G Cells ARFCN List","NR5G Cells PCI List","NR5G Cells SSB Index List","NR5G Cells Band List","NR5G Cells BeamNum List","NR5G Cells RSRP List","NR5G Cells RSRQ List","NR5G Cells SINR List","NR5G MCS Avg DL","NR5G MCS Max DL","NR5G MCS Most DL","NR5G Modulation DL","NR5G Trans.Mode","NR5G DL QPSK Ratio(%)/s","NR5G DL 16QAM Ratio(%)/s","NR5G DL 64QAM Ratio(%)/s","NR5G DL 256QAM Ratio(%)/s","NR5G PDCP Tput DL(Mbps)","NR5G RLC Tput DL(Mbps)","NR5G MAC Tput Dl(Mbps)","NR5G PHY Tput DL(Mbps)","NR5G BLER DL","NR5G Layers Num DL","NR5G Rank DL","NR5G RB Num DL/slot","NR5G Pdsch Num RB/s","NR5G Grant Num DL/s","NR5G Pdsch TB Size/slot","NR5G TB0 Avg Size DL/s","NR5G TB1 Avg Size DL/s","NR5G CQI","NR5G MCS Avg UL","NR5G MCS Max UL","NR5G MCS Most UL","NR5G Modulation UL","NR5G Bler UL","NR5G Tx Mode UL","NR5G UL QPSK Ratio(%)/s","NR5G UL 16QAM Ratio(%)/s","NR5G UL 64QAM Ratio(%)/s","NR5G PDCP Tput UL(Mbps)","NR5G RLC Tput UL(Mbps)","NR5G MAC Tput UL(Mbps)","NR5G PHY Tput UL(Mbps)","NR5G Rank UL","NR5G RB Num UL/slot","NR5G Pusch Num RB/s","NR5G Grant Num UL/s","NR5G Pusch TB Size/s","NR5G MIMO","NR5G Rach Reason","NR5G C-RNTI","NR5G RACH Contention","NR5G PRACH Config","NR5G RACH Preamble Format","NR5G RACH LogicalRoot Index","NR5G RACH RA-RNTI","NR5G RACH Access Result","NR5G RACH T-RNTI","NR5G TA","NR5G Access Delay","NR5G PUSCH TxPower(dBm)","NR5G PUCCH TxPower(dBm)","NR5G PRACH TxPower(dBm)","NR5G DCI Format 0_0 Num/s","NR5G DCI Format 0_1 Num/s","NR5G DCI Format 0_2 Num/s","NR5G DCI Format 1_0 Num/s","NR5G DCI Format 1_1 Num/s","NR5G DCI Format 1_2 Num/s","NR5G DCI Format 2_0 Num/s","NR5G DCI Format 2_1 Num/s","NR5G DCI Format 2_2 Num/s","NR5G DCI Format 2_3 Num/s","NR5G DCI Format 0_0 AggLevel","NR5G DCI Format 0_1 AggLevel","NR5G DCI Format 1_0 AggLevel","NR5G DCI Format 1_1 AggLevel","NR5G DCI Format 2_0 AggLevel","NR5G DCI Format 2_1 AggLevel","NR5G DCI Format 2_2 AggLevel","NR5G DCI Format 2_3 AggLevel","NR5G MM State","NR5G MM Sub State","NR5G AMF Region ID","NR5G AMF SET ID","NR5G AMF Pointer","NR5G TMSI","NR5G Pusch Frame","NR5G Pusch Slot","NR5G Pusch SCS","NR5G Pusch TB Size/slot","NR5G Pusch TBIndex","NR5G Pusch Num RB/slot","NR5G Pusch BWP Id","NR5G Pusch TxPower","NR5G Pusch Actual TxPower","NR5G Pusch TxType","NR5G Pusch Carrier ID","NR5G Pusch HARQ ID","NR5G Pusch Modulation","NR5G Pusch Start RB","NR5G Pusch TPC","NR5G Pusch RNTI","NR5G Pdsch Frame","NR5G Pdsch Slot","NR5G Pdsch TB Index","NR5G Pdsch RNTI Type","NR5G Pdsch CRC Status","NR5G Pdsch NDI","NR5G Pdsch Modulation","NR5G Pdsch MCS","NR5G Pdsch Num RB/slot","NR5G Pdsch Num Layers","NR5G Pdsch Carrier ID","NR5G Pdsch HARQ ID","NR5G Pdsch SCS","NR5G Pdsch TxType","NR5G Pdsch BWP ID","NR5G Pdsch TB Size/s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA4919EA,EC624327,E97D2DB1,9581D094,84B5E45B,73EA1822,B7198906,421ADD10,63B29582,52E6A949,A6E20666,A64DBCCD,747E61BB,B9FEBE7C,6603415F,314EF0D7,96163A2D,F5A6C7A9,49A224C7,8013B21A,45945C1F,34C86FE6,9866E60A,CACA8AB5,854A4DF4,DB9676EE,4ED8C0A1,3E0CF468,70709913,5FA4ACDA,FEEB4C2B,EE1F7FF2,FB73865,BBBBDB47,DD5393B9,280A6C55,5A6E1100,E3B2283E,8FB6CB21,7EEAFEE8,B14E8393,F88BFD1F,264CB3B,F198FF01,813C654C,B3A009F7,A2D43DBE,88C3CD03,77F7E0CA,AA5B8575,A932D243,998FB93C,5F104341,4E447708,80A81BB3,6FDC2F7A,EA11974A,23FC83AD,1330B774,D945AB11,5B027A99,8D661F44,7C9A330B,289ED5EE,17D2E9B5,B7ADF29F,C879DED8,1C753BF6,1BE0D25D,6BCE46D2,3D788ACF,2CACBE96,D8B14178,C30BB7F8,FD2E2F60,9D6616DE,455CD119,3490E4E0,C7E5753F,5E7BF9A8,BF355A56,AE696E1D,41867377,C34322FE,6F47C5E1,D0959028,BFC9A3EF,52525FB0,9E31EB7D,AEFDD7B6,2F934D4,B14E624,A1AB6A8C,D40F0F37,CBBBD2E1,DFA1B9A,DC87BF1A,173E801C,4A368E60,396AA227,E56F4509,D4A378D0,7071D7C,F63B3142,A23FD425,9173E7EC,C3D78C97,B30BA05E,788C4A63,8958369C,2490ED46,4628A5B8,D001268F,7C05C972,6B39FD39,9D9D81E4,8CD1B5AB,1F5A516C,E8E6533,40F209DE,30263DA5,DC2AC087,5DE4A4A,F5127E10,277602BC,16AA3683,C2AED965,B1E2ED2C,E44691D7,D37AA59E,A54A5D28,947E70EF,C6E2159A,B6162961,621ACC44,514EE00B,954A458E,847E7955,B6E21E00,A61631C7,521AD4AA,414EE871,73B28D1C,62E6A0E3,EEB43C6,FE1F778C,30831C38,1FB72FFF,BAEFE6A8,ED538B53,A208491F,913C7CE6,7BCE5E6C,6B027233,8C9A2AA5,389ECD88,27D2E14F,5A3685FA,496AB9C1,F56F5CA3,E4A3706A,17071516,63B28DD,B23FCBBF,A173FF86,D3D78431,888C41FD,5628BD52,
20260725 14:46:20.762,24.827543,102.852729,0.00,1958,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,4,1,-,97,-79,-10.6,17.5,1,-,-,6312,-43,-,-,-85.2;-79.5;-104.4;-85.5,-,12.7;17.7;255;255,12.6;10.3;255;255,-48.8;-43,2;1;2;3;0;2;1;7;7;6;0;6,560;558;558;558;558;497;239;237;496;793;997;532,-93.3;-79;-92.4;-97.2;-100.1;-97.7;-90.2;-89.5;-96.2;-100.9;-101;-100.8,-14.5;-10.6;-14.3;-14.3;-15.9;-17.9;-20.9;-12.1;-19.1;-16.2;-15;-16.1,255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990,558;237;239;560;497;496;532;793;997,1;7;1;2;2;7;6;6;0,-,4;1;1;1;1;1;1;1;1,-79;-89.5;-92.2;-93.3;-97.6;-97.9;-100.8;-101;-101,-10.6;-12.1;-14.7;-14.5;-17.8;-19.1;-16.1;-16.2;-15,17.5;255;255;255;255;255;255;255;255,5.2,29,0,QPSK,-,58.8,35.3,5.9,0,0.07,0.01,0.02,0.02,0,2,Rank 1,45,768,15,42,-,42,9,20.1,31,18,64QAM,0,SMDL,0,0,56.5,0.02,0.02,0.02,0.35,Rank 2,4,252,57,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,9,17,-,-,57,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,694,9,30kHz,480,-,4,1,-,-,New trans.,0,0,64QAM,251,1,29225,689,15,0,0,Pass,0,QPSK,0,16,2,0,15,30kHz,Re trans.,-,18608,
20260725 14:46:21.772,24.827543,102.852728,0.00,1958,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,5,1,-,103,-85.5,-11.1,11.2,1,-,-,6312,-45.6,-,-,-88;-86.6;-96.6;-91.2,-,6.7;4.8;255;255,12.3;11.7;255;255,-49.8;-45.6,2;1;2;0;3;2;1;7;7;6;0;6;3,560;558;558;558;558;497;239;237;496;793;997;532;125,-90.2;-85.1;-94;-100.6;-103.1;-106;-97.4;-96.7;-99.8;-106.4;-100.2;-106.3;-105.1,-11.9;-10.7;-16.2;-18.3;-17.1;-22.3;-20.6;-13.7;-17.8;-17.6;-17;-19.1;-18.7,255;255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990;504990,558;560;239;237;997;497;496;125;532;793,1;2;1;7;0;2;7;3;6;6,-,4;1;1;1;1;1;1;1;1;1,-85.5;-90.3;-96.1;-97.9;-100.2;-101;-101.2;-105.1;-106.3;-107.2,-11.1;-11.9;-16.4;-14.8;-17;-18.7;-17.5;-18.7;-19.1;-18.1,11.2;255;255;255;255;255;255;255;255;255,1.6,9,0,QPSK,-,81.3,18.8,0,0,0.06,0.07,0.13,0.13,9.1,2,Rank 1,25,400,15,42,-,42,7,17.7,30,16,64QAM,0,SMDL,0,0,100,0.00,0.01,0.02,0.19,Rank 2,4,164,59,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,13,17,-,-,59,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,801,18,30kHz,560,-,4,1,-,-,-,0,0,64QAM,219,1,29225,798,15,0,0,Pass,0,QPSK,0,16,2,0,15,30kHz,Re trans.,-,9134,
20260725 14:46:22.779,24.827543,102.852728,0.58,1957,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,5,1,-,108,-89.8,-11.8,5.9,1,-,-,6312,-52.4,-,-,-94.3;-92.5;-93.3;-87.4,-,13.2;9.4;255;255,11.5;11.2;255;255,-52.9;-52.4,2;1;2;3;5;2;2;7;7;6;0;6;3,560;558;558;558;558;497;239;237;496;793;997;532;125,-96.5;-88.9;-93.8;-104.8;-107.5;-99.8;-97.7;-97.4;-100;-106.1;-97.8;-109.3;-119.9,-14.6;-11.3;-13.6;-17.4;-17.3;-17.8;-17.1;-13.7;-16.6;-17.5;-15;-19.5;-25.9,255;255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990;504990,558;560;239;237;997;497;496;793;532;125,1;2;2;7;0;2;7;6;6;3,-,4;1;1;1;1;1;1;1;1;1,-89.8;-96.5;-97.2;-97.7;-97.8;-99.9;-100.2;-106.4;-109.3;-119.9,-11.8;-14.6;-14.7;-13.7;-15;-17.7;-16.4;-17.7;-19.5;-25.9,5.9;255;255;255;255;255;255;255;255;255,1,5,0,QPSK,-,92.3,7.7,0,0,0.01,0.06,0.07,0.08,0,1,Rank 1,20,272,16,69,-,69,6,15.9,30,15,64QAM,0,SMDL,0,0,100,0.01,0.01,0.04,0.30,Rank 2,4,304,89,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,15,23,-,-,89,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,903,9,30kHz,656,-,4,1,-,-,New trans.,0,0,64QAM,228,1,29225,903,14,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,2117,
20260725 14:46:23.787,24.827545,102.852725,2.38,1957,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,5,1,-,104,-85.9,-10.8,7.2,1,-,-,6312,-52.1,-,-,-100;-86.6;-108.3;-84.7,-,3.1;6.6;255;255,11.1;10.1;255;255,-60.5;-52.1,2;1;2;3;5;2;0;7;7;6;0;6,560;558;558;558;558;497;239;237;496;793;997;532,-100.1;-85.9;-97.3;-103.1;-106.6;-97.3;-93.3;-94.1;-98.2;-108;-93.8;-117.2,-15.8;-10.8;-15.3;-19.8;-16.5;-14.6;-13.8;-12;-15.5;-19.2;-14.3;-24.9,255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990,558;997;239;237;497;496;560;793;532,1;0;0;7;2;7;2;6;6,-,4;1;1;1;1;1;1;1;1,-85.9;-93.8;-94;-94.2;-97.3;-99.3;-100;-107.9;-117.2,-10.8;-14.3;-13.8;-12;-14.6;-17.1;-15.6;-19.1;-24.9,7.2;255;255;255;255;255;255;255;255,1,5,0,QPSK,-,92.3,7.7,0,0,0.00,0.01,0.01,0.01,0,1,Rank 1,20,272,16,69,-,69,9,17.7,30,14,64QAM,0,SMDL,0,0,100,0.01,0.01,0.05,0.27,Rank 2,4,252,89,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,13,16,-,-,89,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,950,9,30kHz,437,-,4,1,-,-,New trans.,0,0,64QAM,227,1,29225,944,13,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,2117,
20260725 14:46:24.796,24.827547,102.852721,0.94,1957,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,4,1,-,106,-85,-10.8,7.6,1,-,-,6312,-48.9,-,-,-92;-85.2;-98.5;-95.7,-,6.6;7.3;255;255,16;13.5;255;255,-54.8;-48.9,2;1;3;2;6;2;1;7;7;6;0;6,560;558;558;558;558;497;239;237;496;793;997;532,-89.9;-85;-104.3;-108;-109.1;-97.9;-93;-97.6;-97.3;-106.2;-99;-106,-12.1;-10.8;-18.6;-22.9;-20.1;-18.8;-18.8;-15.9;-16;-17.7;-16.4;-18.8,255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990,558;560;239;497;237;496;997;532;793,1;2;1;2;7;7;0;6;6,-,4;1;1;1;1;1;1;1;1,-85;-90.1;-94.4;-97.7;-97.9;-98.5;-99;-106;-106.2,-10.8;-12.2;-14.3;-18.5;-15.7;-16.5;-16.4;-18.8;-17.7,7.6;255;255;255;255;255;255;255;255,0.7,2,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,25,2,Rank 1,16,48,4,69,-,69,10,14.3,30,12,64QAM,0,SMDL,0,0,100,0.00,0.00,0.05,0.03,Rank 2,4,40,21,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,15,16,-,-,21,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,9,30kHz,608,-,4,1,-,-,New trans.,0,0,64QAM,227,1,29225,40,13,0,0,Pass,0,QPSK,0,16,1,0,15,30kHz,Re trans.,-,244,
20260725 14:46:25.807,24.827548,102.852720,1.08,1957,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,5,1,-,106,-91.2,-11.6,7.4,1,-,-,6312,-53.8,-,-,-90.8;-97.4;-97.6;-96.5,-,7.9;-0.5;255;255,14.6;13.3;255;255,-53.8;-56.5,2;1;2;4;3;3;0;6;0;6;0;6;6,560;558;558;558;558;497;239;237;496;793;997;532;238,-93.1;-91.2;-101.3;-109.1;-107.1;-108.2;-95.8;-102.5;-100.4;-102.5;-101.6;-108.2;-106.2,-12.1;-11.6;-18.5;-17.6;-18.7;-19.5;-13.4;-15.5;-16.6;-15.5;-18.1;-20.8;-16,255;255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990;504990,558;560;239;496;997;793;237;238;497;532,1;2;0;0;0;6;6;6;3;6,-,4;1;1;1;1;1;1;1;1;1,-91.2;-93.1;-96.5;-100.9;-101.6;-102.5;-103.3;-106.2;-108.2;-108.2,-11.6;-12.1;-12.9;-16.3;-18.1;-15.5;-16.7;-16;-19.5;-20.8,7.4;255;255;255;255;255;255;255;255;255,6,28,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,25,2,Rank 1,19,96,5,69,-,69,9,13.3,17,13,64QAM,0,SMDL,0,14.3,85.7,0.00,0.00,0.00,0.08,Rank 2,4,84,21,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,12,19,-,-,21,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,18,30kHz,656,-,4,1,-,-,New trans.,0,0,64QAM,84,1,29225,152,13,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,491,
20260725 14:46:26.819,24.827547,102.852722,0.00,1958,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,4,1,-,106,-90,-11.8,6.8,1,-,-,6312,-49.8,-,-,-92.6;-85.2;-96.2;-92.1,-,4.7;6.9;255;255,16.7;12;255;255,-56.6;-49.8,2;1;2;0;3;2;0;7;7;6;0;6,560;558;558;558;558;497;239;237;496;793;997;238,-93.2;-89.8;-100.8;-100.4;-104.6;-100.3;-95.3;-98.3;-99.3;-104.3;-98.3;-104.6,-12.3;-11.7;-20;-18.7;-20;-19.8;-14;-16.1;-16.6;-17.3;-14;-16.3,255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990,558;560;239;237;997;496;497;793;238,1;2;0;7;0;7;2;6;6,-,4;1;1;1;1;1;1;1;1,-90;-94.1;-95.5;-98.1;-98.3;-100.4;-100.9;-104.3;-105.6,-11.8;-13.1;-13.9;-15.5;-14;-17;-19.7;-17.3;-17,6.8;255;255;255;255;255;255;255;255,3.6,28,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,18,144,7,69,-,69,6,17.3,30,17,64QAM,0,SMDL,0,0,100,0.00,0.00,0.02,0.13,Rank 2,4,120,46,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,11,15,-,-,46,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280,9,30kHz,480,-,4,1,-,-,New trans.,0,0,64QAM,83,1,29225,273,13,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,559,
20260725 14:46:27.832,24.827546,102.852723,0.00,1958,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,5,1,-,104,-85,-10.9,8.1,1,-,-,6312,-50.3,-,-,-96;-84.3;-96.4;-89.2,-,7;6.2;255;255,15.7;11.8;255;255,-58;-50.3,2;1;0;2;5;2;0;7;0;6;0;5,560;558;558;558;558;497;239;237;496;793;997;238,-92.1;-85;-98.8;-100.4;-116.4;-105.2;-95;-95.3;-96.1;-99.8;-95.7;-108.4,-12.9;-10.9;-18;-20.5;-23.4;-20.5;-14.8;-13;-15.9;-15;-12.9;-18.5,255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990,558;560;239;237;997;496;793;497;238,1;2;0;7;0;0;6;2;5,-,4;1;1;1;1;1;1;1;1,-85;-93.5;-95.2;-95.3;-95.7;-96.8;-99.8;-105.2;-107.7,-10.9;-13.7;-14.9;-13;-12.9;-15.7;-15;-20.5;-18.5,8.1;255;255;255;255;255;255;255;255,0.5,3,0,QPSK,-,100,0,0,0,0.01,0.00,0.00,0.00,0,2,Rank 1,18,112,4,69,-,69,9,17.6,30,19,64QAM,0,SMDL,0,0,97.4,0.00,0.00,0.01,0.20,Rank 2,4,156,28,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,12,13,-,-,28,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,357,9,30kHz,656,-,4,1,-,-,New trans.,0,1,64QAM,84,1,29225,352,4,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,654,
20260725 14:46:28.844,24.827546,102.852724,0.00,1958,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6443491339,1573118,11,Normal,-,1,41,-,-,504990,-,558,-,-,30kHz,-,-,-,ms20,-,SA,-0.5,4,1,-,105,-86.2,-10.9,8.6,1,-,-,6312,-51.4,-,-,-89.5;-86.5;-97.4;-88.5,-,10.6;9.6;255;255,12.7;13.3;255;255,-54.4;-51.4,2;1;2;0;6;2;7;7;0;6;0;5,560;558;558;558;558;497;239;237;496;793;997;238,-95;-86.2;-100.9;-100.1;-103.7;-99.5;-94.3;-94;-99;-101.1;-99.2;-110.4,-13.2;-10.9;-18.2;-18;-18.1;-17.6;-13.6;-12.3;-15.6;-16.2;-15.8;-18.9,255;255;255;255;255;255;255;255;255;255;255;255,1;0;0;0;0;0;0;0;0,504990;504990;504990;504990;504990;504990;504990;504990;504990,558;237;239;560;496;997;497;793;238,1;7;7;2;0;0;2;6;5,-,4;1;1;1;1;1;1;1;1,-86.2;-94;-95.5;-96.1;-98.9;-99.2;-99.5;-101.1;-110.3,-10.9;-12.3;-13.8;-14.1;-16.4;-15.8;-17.6;-16.2;-18.9,8.6;255;255;255;255;255;255;255;255,0.8,5,0,QPSK,-,90,10,0,0,0.00,0.01,0.01,0.01,0,1,Rank 1,18,180,11,42,-,42,10,15.2,30,14,64QAM,0,SMDL,0,0,100,0.00,0.00,0.01,0.18,Rank 2,4,168,44,-,2 x 2,-,29225,-,-,-,-,-,-,-,-,-,14,17,-,-,44,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,479,19,30kHz,512,-,4,1,-,-,New trans.,0,0,64QAM,80,1,29225,468,13,0,0,Pass,1,QPSK,0,16,2,0,15,30kHz,Re trans.,-,1085,
